,id,age,gender,education,freq,variable,value,drug_type
3430,1681,18-24,F,University degree,Used in Last Week,escore,1.29,alcohol
3431,1682,45-54,F,"Some college or university, no certificate or degree",Used in Last Week,escore,1.58,alcohol
3432,1683,45-54,M,Professional certificate/ diploma,Used in Last Week,escore,0.48,alcohol
3433,1684,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,-1.63,alcohol
3434,1685,25-34,M,University degree,Used in Last Week,escore,-2.21,alcohol
3435,1686,18-24,F,"Some college or university, no certificate or degree",Used in Last Month,escore,-2.04,alcohol
3436,1687,35-44,F,Professional certificate/ diploma,Used in Last Day,escore,0.64,alcohol
3437,1688,25-34,F,Professional certificate/ diploma,Used in Last Day,escore,-2.32,alcohol
3438,1689,25-34,F,Masters degree,Used in Last Day,escore,0.96,alcohol
3439,1690,35-44,M,"Some college or university, no certificate or degree",Used in Last Day,escore,-1.51,alcohol
3440,1691,25-34,M,"Some college or university, no certificate or degree",Used in Last Year,escore,-1.76,alcohol
3441,1692,25-34,F,Doctorate degree,Used in Last Week,escore,0.81,alcohol
3442,1693,25-34,F,University degree,Used in Last Week,escore,-0.3,alcohol
3443,1694,25-34,F,University degree,Used in Last Week,escore,0.81,alcohol
3444,1695,45-54,M,Masters degree,Used in Last Day,escore,-0.3,alcohol
3445,1696,35-44,M,Professional certificate/ diploma,Used in Last Day,escore,0.64,alcohol
3446,1697,18-24,M,"Some college or university, no certificate or degree",Used in Last Year,escore,-1.76,alcohol
3447,1698,55-64,M,Doctorate degree,Used in Last Day,escore,0.0,alcohol
3448,1699,45-54,F,University degree,Used in Last Month,escore,-0.58,alcohol
3449,1700,25-34,F,Masters degree,Used in Last Day,escore,0.81,alcohol
3450,1701,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,-0.95,alcohol
3451,1702,35-44,F,University degree,Used in Last Day,escore,-0.81,alcohol
3452,1703,25-34,F,Professional certificate/ diploma,Used in Last Week,escore,0.48,alcohol
3453,1704,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,-0.7,alcohol
3454,1705,18-24,M,Left school at 18 years,Used in Last Week,escore,0.17,alcohol
3455,1706,55-64,M,"Some college or university, no certificate or degree",Used in Last Month,escore,-1.76,alcohol
3456,1707,18-24,M,University degree,Used in Last Month,escore,0.32,alcohol
3457,1708,18-24,F,Professional certificate/ diploma,Used in Last Week,escore,0.81,alcohol
3458,1709,35-44,F,University degree,Used in Last Week,escore,0.96,alcohol
3459,1710,45-54,F,University degree,Used in Last Day,escore,1.29,alcohol
3460,1711,35-44,F,Left school at 18 years,Used in Last Month,escore,-0.81,alcohol
3461,1712,25-34,F,University degree,Used in Last Week,escore,1.74,alcohol
3462,1713,35-44,F,Masters degree,Used in Last Week,escore,0.64,alcohol
3463,1714,35-44,F,Doctorate degree,Used in Last Month,escore,1.74,alcohol
3464,1715,45-54,F,Left school at 16 years,Used in Last Week,escore,-0.3,alcohol
3465,1717,45-54,M,Masters degree,Used in Last Week,escore,0.81,alcohol
3466,1718,35-44,F,Masters degree,Used in Last Week,escore,-0.81,alcohol
3467,1719,45-54,M,Professional certificate/ diploma,Used in Last Week,escore,0.32,alcohol
3468,1720,25-34,F,University degree,Used in Last Week,escore,-0.44,alcohol
3469,1722,25-34,F,Left school at 18 years,Used in Last Week,escore,0.17,alcohol
3470,1723,45-54,M,University degree,Used in Last Day,escore,1.11,alcohol
3471,1724,55-64,M,Professional certificate/ diploma,Used in Last Day,escore,-0.15,alcohol
3472,1725,45-54,F,Professional certificate/ diploma,Used in Last Week,escore,0.17,alcohol
3473,1726,25-34,F,Left school at 16 years,Used in Last Year,escore,-1.23,alcohol
3474,1727,25-34,F,Masters degree,Used in Last Week,escore,0.32,alcohol
3475,1728,18-24,F,Left school at 16 years,Used in Last Month,escore,0.32,alcohol
3476,1729,45-54,M,Masters degree,Used in Last Day,escore,-0.95,alcohol
3477,1730,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,0.96,alcohol
3478,1731,25-34,F,"Some college or university, no certificate or degree",Used in Last Day,escore,-1.38,alcohol
3479,1732,45-54,M,Masters degree,Used in Last Week,escore,-0.3,alcohol
3480,1733,25-34,M,Professional certificate/ diploma,Used in Last Month,escore,-0.81,alcohol
3481,1734,45-54,M,Professional certificate/ diploma,Used in Last Week,escore,-0.3,alcohol
3482,1735,45-54,F,Professional certificate/ diploma,Used in Last Week,escore,0.81,alcohol
3483,1736,25-34,F,Masters degree,Used in Last Week,escore,0.32,alcohol
3484,1737,35-44,M,Professional certificate/ diploma,Used in Last Week,escore,0.96,alcohol
3485,1738,45-54,M,Professional certificate/ diploma,Used in Last Week,escore,-0.3,alcohol
3486,1739,55-64,F,Left school before 16 years,Used in Last Week,escore,0.17,alcohol
3487,1740,25-34,F,Professional certificate/ diploma,Used in Last Month,escore,0.0,alcohol
3488,1741,45-54,F,University degree,Used in Last Day,escore,0.32,alcohol
3489,1742,25-34,F,University degree,Used in Last Week,escore,0.64,alcohol
3490,1743,35-44,M,University degree,Used in Last Week,escore,0.81,alcohol
3491,1744,35-44,F,Masters degree,Used in Last Week,escore,0.48,alcohol
3492,1745,55-64,F,"Some college or university, no certificate or degree",Used in Last Year,escore,-0.95,alcohol
3493,1746,25-34,F,Left school at 16 years,Used in Last Month,escore,0.96,alcohol
3494,1748,45-54,F,"Some college or university, no certificate or degree",Used in Last Day,escore,0.81,alcohol
3495,1749,18-24,M,University degree,Used in Last Week,escore,-0.7,alcohol
3496,1750,25-34,F,Left school at 17 years,Used in Last Week,escore,-0.44,alcohol
3497,1751,45-54,M,Left school at 16 years,Used in Last Week,escore,0.48,alcohol
3498,1752,25-34,F,University degree,Used in Last Week,escore,0.64,alcohol
3499,1753,25-34,M,University degree,Used in Last Week,escore,0.96,alcohol
3500,1754,25-34,F,Professional certificate/ diploma,Used in Last Day,escore,1.58,alcohol
3501,1755,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,0.17,alcohol
3502,1756,18-24,F,Left school at 18 years,Used in Last Week,escore,1.45,alcohol
3503,1757,18-24,M,Left school at 18 years,Used in Last Week,escore,0.0,alcohol
3504,1758,35-44,M,Professional certificate/ diploma,Used in Last Day,escore,-0.44,alcohol
3505,1759,45-54,M,Masters degree,Used in Last Year,escore,-0.44,alcohol
3506,1760,35-44,M,Masters degree,Used in Last Week,escore,-1.76,alcohol
3507,1761,45-54,F,Professional certificate/ diploma,Used in Last Week,escore,0.32,alcohol
3508,1762,35-44,F,Professional certificate/ diploma,Used in Last Week,escore,-0.58,alcohol
3509,1763,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,-1.09,alcohol
3510,1764,18-24,F,University degree,Used in Last Month,escore,-1.09,alcohol
3511,1765,35-44,M,Left school at 16 years,Used in Last Week,escore,-0.3,alcohol
3512,1766,25-34,F,"Some college or university, no certificate or degree",Used in Last Month,escore,1.94,alcohol
3513,1767,25-34,F,University degree,Used in Last Week,escore,-1.23,alcohol
3514,1768,18-24,M,"Some college or university, no certificate or degree",Used in Last Year,escore,-1.92,alcohol
3515,1769,25-34,F,"Some college or university, no certificate or degree",Used in Last Week,escore,-0.95,alcohol
3516,1770,35-44,F,Professional certificate/ diploma,Used in Last Week,escore,0.48,alcohol
3517,1771,25-34,M,University degree,Used in Last Week,escore,0.96,alcohol
3518,1772,55-64,M,"Some college or university, no certificate or degree",Used in Last Decade,escore,-1.38,alcohol
3519,1773,18-24,M,Left school at 18 years,Used in Last Month,escore,1.29,alcohol
3520,1774,25-34,F,Masters degree,Used in Last Day,escore,0.64,alcohol
3521,1776,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,0.48,alcohol
3522,1777,18-24,F,University degree,Used in Last Week,escore,-1.09,alcohol
3523,1779,18-24,F,University degree,Used in Last Week,escore,0.32,alcohol
3524,1780,45-54,M,"Some college or university, no certificate or degree",Used in Last Decade,escore,0.0,alcohol
3525,1781,18-24,F,University degree,Used in Last Week,escore,-0.7,alcohol
3526,1782,18-24,M,Left school at 18 years,Used in Last Week,escore,-0.58,alcohol
3527,1783,25-34,F,Left school at 17 years,Used in Last Week,escore,0.48,alcohol
3528,1784,25-34,F,"Some college or university, no certificate or degree",Used in Last Week,escore,-0.81,alcohol
3529,1785,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,-1.09,alcohol
3530,1786,25-34,F,Masters degree,Used in Last Week,escore,-0.58,alcohol
3531,1787,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,3.27,alcohol
3532,1788,18-24,M,University degree,Used in Last Month,escore,-0.95,alcohol
3533,1789,45-54,F,University degree,Used in Last Day,escore,-1.09,alcohol
3534,1790,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,-0.15,alcohol
3535,1791,18-24,M,Left school at 17 years,Used in Last Year,escore,0.32,alcohol
3536,1792,35-44,F,Doctorate degree,Used in Last Month,escore,-0.15,alcohol
3537,1793,18-24,M,University degree,Used in Last Day,escore,-1.51,alcohol
3538,1794,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,-0.15,alcohol
3539,1796,25-34,M,University degree,Used in Last Day,escore,0.64,alcohol
3540,1797,35-44,F,Left school at 16 years,Used in Last Decade,escore,-0.58,alcohol
3541,1798,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,-0.15,alcohol
3542,1799,18-24,M,University degree,Used in Last Year,escore,-1.51,alcohol
3543,1800,55-64,M,Masters degree,Used in Last Week,escore,1.74,alcohol
3544,1801,45-54,M,"Some college or university, no certificate or degree",Used in Last Decade,escore,-1.23,alcohol
3545,1802,25-34,M,Doctorate degree,Used in Last Day,escore,1.58,alcohol
3546,1803,18-24,M,Masters degree,Used in Last Month,escore,0.48,alcohol
3547,1804,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,1.74,alcohol
3548,1805,18-24,M,Professional certificate/ diploma,Used in Last Month,escore,-0.15,alcohol
3549,1806,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,-0.58,alcohol
3550,1807,35-44,F,Professional certificate/ diploma,Used in Last Month,escore,-0.81,alcohol
3551,1808,35-44,M,University degree,Used in Last Week,escore,-0.95,alcohol
3552,1809,18-24,F,Masters degree,Used in Last Month,escore,-0.81,alcohol
3553,1810,18-24,F,Left school at 17 years,Used in Last Month,escore,1.11,alcohol
3554,1811,18-24,M,University degree,Used in Last Day,escore,-1.23,alcohol
3555,1812,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,-0.81,alcohol
3556,1813,25-34,F,Left school at 18 years,Used in Last Month,escore,-0.15,alcohol
3557,1814,25-34,M,University degree,Used in Last Month,escore,0.64,alcohol
3558,1815,35-44,F,University degree,Used in Last Decade,escore,-0.7,alcohol
3559,1816,18-24,F,Masters degree,Used in Last Day,escore,0.32,alcohol
3560,1817,45-54,M,University degree,Used in Last Week,escore,0.0,alcohol
3561,1818,18-24,F,"Some college or university, no certificate or degree",Used in Last Month,escore,-1.23,alcohol
3562,1819,25-34,F,University degree,Used in Last Week,escore,0.64,alcohol
3563,1820,18-24,M,Masters degree,Used in Last Day,escore,2.57,alcohol
3564,1821,18-24,M,"Some college or university, no certificate or degree",Used in Last Decade,escore,-2.04,alcohol
3565,1822,45-54,F,"Some college or university, no certificate or degree",Used in Last Year,escore,-0.15,alcohol
3566,1823,18-24,M,"Some college or university, no certificate or degree",Used in Last Year,escore,0.32,alcohol
3567,1824,18-24,F,"Some college or university, no certificate or degree",Used in Last Month,escore,-1.23,alcohol
3568,1825,25-34,M,University degree,Used in Last Day,escore,-1.51,alcohol
3569,1826,18-24,M,University degree,Used in Last Week,escore,-1.09,alcohol
3570,1827,18-24,F,University degree,Used in Last Month,escore,-0.3,alcohol
3571,1828,25-34,F,University degree,Used in Last Month,escore,-1.51,alcohol
3572,1829,25-34,F,Masters degree,Used in Last Week,escore,1.11,alcohol
3573,1830,25-34,F,University degree,Used in Last Decade,escore,-1.63,alcohol
3574,1831,25-34,F,University degree,Used in Last Day,escore,-2.32,alcohol
3575,1832,18-24,M,Left school at 18 years,Used in Last Day,escore,0.0,alcohol
3576,1833,18-24,M,University degree,Used in Last Week,escore,1.94,alcohol
3577,1834,35-44,F,University degree,Used in Last Day,escore,-1.09,alcohol
3578,1835,25-34,M,"Some college or university, no certificate or degree",Used in Last Day,escore,0.64,alcohol
3579,1836,45-54,M,University degree,Used in Last Year,escore,-0.81,alcohol
3580,1837,35-44,F,Professional certificate/ diploma,Used in Last Decade,escore,-1.92,alcohol
3581,1838,35-44,F,"Some college or university, no certificate or degree",Used in Last Year,escore,-1.51,alcohol
3582,1839,35-44,F,Professional certificate/ diploma,Used in Last Day,escore,-0.81,alcohol
3583,1840,25-34,F,Professional certificate/ diploma,Used in Last Month,escore,0.96,alcohol
3584,1841,55-64,F,University degree,Used in Last Decade,escore,0.64,alcohol
3585,1842,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,-0.44,alcohol
3586,1843,25-34,M,University degree,Used in Last Month,escore,-0.15,alcohol
3587,1844,45-54,M,Doctorate degree,Used in Last Week,escore,-0.81,alcohol
3588,1845,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,0.48,alcohol
3589,1846,45-54,M,University degree,Used in Last Week,escore,0.64,alcohol
3590,1847,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,1.29,alcohol
3591,1848,18-24,F,University degree,Used in Last Day,escore,-0.95,alcohol
3592,1849,18-24,F,"Some college or university, no certificate or degree",Used in Last Year,escore,-0.95,alcohol
3593,1850,45-54,M,Professional certificate/ diploma,Used in Last Decade,escore,-0.95,alcohol
3594,1851,25-34,F,University degree,Used in Last Year,escore,-1.38,alcohol
3595,1852,18-24,M,Left school at 17 years,Used in Last Week,escore,0.64,alcohol
3596,1853,25-34,M,Professional certificate/ diploma,Used in Last Day,escore,0.96,alcohol
3597,1854,25-34,F,Masters degree,Used in Last Week,escore,-0.15,alcohol
3598,1855,35-44,M,Left school at 16 years,Used in Last Year,escore,-1.23,alcohol
3599,1856,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,1.29,alcohol
3600,1857,18-24,M,"Some college or university, no certificate or degree",Used in Last Year,escore,0.17,alcohol
3601,1858,18-24,M,Left school at 17 years,Used in Last Week,escore,0.0,alcohol
3602,1859,35-44,M,Professional certificate/ diploma,Used in Last Month,escore,1.11,alcohol
3603,1860,18-24,M,"Some college or university, no certificate or degree",Used in Last Year,escore,-0.58,alcohol
3604,1861,18-24,M,"Some college or university, no certificate or degree",Used in Last Day,escore,0.32,alcohol
3605,1862,18-24,M,Left school at 18 years,Used in Last Month,escore,0.32,alcohol
3606,1863,35-44,M,"Some college or university, no certificate or degree",Used in Last Day,escore,0.0,alcohol
3607,1864,55-64,F,University degree,Used in Last Week,escore,-1.09,alcohol
3608,1865,25-34,F,University degree,Used in Last Week,escore,0.0,alcohol
3609,1866,45-54,M,Left school before 16 years,Used in Last Day,escore,-0.44,alcohol
3610,1867,18-24,F,"Some college or university, no certificate or degree",Used in Last Week,escore,0.64,alcohol
3611,1868,25-34,M,"Some college or university, no certificate or degree",Used in Last Week,escore,0.0,alcohol
3612,1869,18-24,F,Professional certificate/ diploma,Used in Last Week,escore,0.0,alcohol
3613,1870,18-24,F,University degree,Used in Last Day,escore,-0.81,alcohol
3614,1871,18-24,F,"Some college or university, no certificate or degree",Used in Last Day,escore,-0.44,alcohol
3615,1872,18-24,M,"Some college or university, no certificate or degree",Used in Last Decade,escore,-0.15,alcohol
3616,1873,18-24,M,"Some college or university, no certificate or degree",Used in Last Year,escore,1.11,alcohol
3617,1874,25-34,F,University degree,Used in Last Day,escore,0.96,alcohol
3618,1875,18-24,M,Left school at 18 years,Used in Last Day,escore,-0.44,alcohol
3619,1876,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,0.0,alcohol
3620,1877,18-24,M,Left school at 17 years,Used in Last Week,escore,-1.23,alcohol
3621,1878,65+,M,"Some college or university, no certificate or degree",Used in Last Week,escore,-0.15,alcohol
3622,1879,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,-1.76,alcohol
3623,1880,25-34,M,"Some college or university, no certificate or degree",Used in Last Day,escore,-0.58,alcohol
3624,1881,18-24,M,Left school at 17 years,Used in Last Day,escore,-1.92,alcohol
3625,1882,18-24,M,University degree,Used in Last Month,escore,-1.76,alcohol
3626,1883,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,0.32,alcohol
3627,1884,18-24,F,"Some college or university, no certificate or degree",Used in Last Week,escore,1.74,alcohol
3628,1885,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,escore,1.74,alcohol
3629,1886,25-34,F,University degree,Used in Last Month,escore,-1.38,alcohol
3630,1887,18-24,F,"Some college or university, no certificate or degree",Used in Last Week,escore,-1.92,alcohol
3631,1888,18-24,M,"Some college or university, no certificate or degree",Used in Last Month,escore,2.13,alcohol
3632,2,25-34,M,Doctorate degree,Used in Last Week,oscore,1.44,alcohol
3633,3,35-44,M,Professional certificate/ diploma,Used in Last Day,oscore,-0.85,alcohol
3634,4,18-24,F,Masters degree,Used in Last Month,oscore,-0.02,alcohol
3635,5,35-44,F,Doctorate degree,Used in Last Month,oscore,-0.45,alcohol
3636,6,65+,F,Left school at 18 years,Used in Last Decade,oscore,-1.56,alcohol
3637,7,45-54,M,Masters degree,Used in Last Day,oscore,-0.45,alcohol
3638,8,35-44,M,Left school at 16 years,Used in Last Week,oscore,-0.85,alcohol
3639,9,35-44,F,Professional certificate/ diploma,Used in Last Month,oscore,-0.98,alcohol
3640,10,55-64,M,Masters degree,Used in Last Day,oscore,-1.42,alcohol
3641,11,25-34,F,University degree,Used in Last Week,oscore,-1.12,alcohol
3642,12,45-54,M,"Some college or university, no certificate or degree",Used in Last Week,oscore,0.14,alcohol
3643,13,55-64,F,University degree,Used in Last Week,oscore,0.45,alcohol
3644,15,55-64,F,Professional certificate/ diploma,Used in Last Day,oscore,0.45,alcohol
3645,16,55-64,M,University degree,Used in Last Week,oscore,-1.56,alcohol
3646,17,35-44,F,"Some college or university, no certificate or degree",Used in Last Day,oscore,-1.68,alcohol
3647,18,45-54,M,Left school at 16 years,Used in Last Day,oscore,-0.32,alcohol
3648,19,55-64,M,University degree,Used in Last Day,oscore,-0.18,alcohol
3649,20,35-44,M,Professional certificate/ diploma,Used in Last Month,oscore,-2.4,alcohol
3650,21,45-54,M,Professional certificate/ diploma,Used in Last Day,oscore,0.72,alcohol
3651,22,65+,M,Left school before 16 years,Used in Last Week,oscore,-1.12,alcohol
3652,23,45-54,M,University degree,Used in Last Month,oscore,-0.85,alcohol
3653,24,45-54,M,Left school at 16 years,Used in Last Day,oscore,-1.28,alcohol
3654,25,55-64,M,University degree,Used in Last Week,oscore,1.24,alcohol
3655,26,45-54,M,"Some college or university, no certificate or degree",Used in Last Week,oscore,-1.28,alcohol
3656,27,55-64,F,Left school at 18 years,Used in Last Day,oscore,-3.27,alcohol
3657,28,35-44,M,University degree,Used in Last Day,oscore,-0.02,alcohol
3658,29,35-44,F,Masters degree,Used in Last Day,oscore,-0.72,alcohol
3659,31,45-54,M,Left school at 16 years,Used in Last Day,oscore,-1.28,alcohol
3660,32,35-44,F,Left school at 16 years,Used in Last Year,oscore,0.14,alcohol
3661,33,35-44,M,University degree,Used in Last Day,oscore,-0.02,alcohol
3662,34,18-24,M,University degree,Used in Last Day,oscore,0.29,alcohol
3663,35,35-44,M,University degree,Used in Last Month,oscore,0.88,alcohol
3664,36,65+,M,Left school before 16 years,Used in Last Year,oscore,-2.63,alcohol
3665,37,35-44,M,University degree,Used in Last Day,oscore,-0.18,alcohol
3666,38,55-64,M,Left school before 16 years,Used in Last Day,oscore,1.06,alcohol
3667,39,45-54,M,University degree,Used in Last Day,oscore,0.29,alcohol
3668,40,65+,F,Professional certificate/ diploma,Used in Last Day,oscore,-1.12,alcohol
3669,41,35-44,M,Masters degree,Used in Last Week,oscore,-0.02,alcohol
3670,42,35-44,F,University degree,Used in Last Month,oscore,1.06,alcohol
3671,43,35-44,M,Masters degree,Used in Last Day,oscore,-1.28,alcohol
3672,44,35-44,M,Professional certificate/ diploma,Used in Last Day,oscore,-0.32,alcohol
3673,45,25-34,M,University degree,Used in Last Week,oscore,0.45,alcohol
3674,46,25-34,F,University degree,Used in Last Week,oscore,1.24,alcohol
3675,47,45-54,F,"Some college or university, no certificate or degree",Used in Last Year,oscore,-1.12,alcohol
3676,48,45-54,M,Masters degree,Used in Last Week,oscore,0.29,alcohol
3677,49,45-54,M,Left school at 16 years,Used in Last Day,oscore,-0.32,alcohol
3678,50,25-34,F,Masters degree,Used in Last Day,oscore,-1.97,alcohol
3679,51,35-44,M,Masters degree,Used in Last Day,oscore,-0.18,alcohol
3680,52,45-54,M,Professional certificate/ diploma,Used in Last Decade,oscore,-0.58,alcohol
3681,53,55-64,F,University degree,Used in Last Week,oscore,-1.42,alcohol
3682,54,45-54,M,Masters degree,Used in Last Week,oscore,1.06,alcohol
3683,55,55-64,M,Left school at 16 years,Used in Last Day,oscore,-0.58,alcohol
3684,56,55-64,F,Professional certificate/ diploma,Used in Last Year,oscore,-1.12,alcohol
3685,57,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,oscore,-1.68,alcohol
3686,59,45-54,M,Left school at 18 years,Used in Last Week,oscore,-0.02,alcohol
3687,60,45-54,M,University degree,Used in Last Week,oscore,-1.28,alcohol
3688,61,25-34,F,Doctorate degree,Used in Last Week,oscore,0.29,alcohol
3689,62,45-54,M,Masters degree,Used in Last Week,oscore,1.24,alcohol
3690,63,25-34,M,University degree,Used in Last Week,oscore,-1.83,alcohol
3691,64,45-54,M,University degree,Used in Last Week,oscore,-0.72,alcohol
3692,65,45-54,M,Doctorate degree,Used in Last Day,oscore,1.06,alcohol
3693,66,35-44,M,"Some college or university, no certificate or degree",Used in Last Week,oscore,-0.85,alcohol
3694,67,45-54,M,Left school at 16 years,Used in Last Month,oscore,-1.12,alcohol
3695,68,25-34,M,Masters degree,Used in Last Week,oscore,1.06,alcohol
3696,69,35-44,M,Professional certificate/ diploma,Used in Last Week,oscore,0.29,alcohol
3697,70,45-54,F,Left school at 16 years,Used in Last Day,oscore,-1.68,alcohol
3698,71,25-34,M,"Some college or university, no certificate or degree",Used in Last Day,oscore,0.14,alcohol
3699,72,45-54,F,Left school at 18 years,Used in Last Week,oscore,-0.32,alcohol
3700,73,45-54,M,Left school at 18 years,Used in Last Day,oscore,-0.02,alcohol
3701,74,45-54,M,Professional certificate/ diploma,Used in Last Day,oscore,-0.32,alcohol
3702,75,65+,F,Left school at 16 years,Used in Last Year,oscore,-2.86,alcohol
3703,76,25-34,M,University degree,Used in Last Week,oscore,-1.56,alcohol
3704,77,45-54,F,Left school at 17 years,Used in Last Month,oscore,-1.56,alcohol
3705,78,35-44,M,University degree,Used in Last Year,oscore,-0.58,alcohol
3706,79,35-44,M,"Some college or university, no certificate or degree",Used in Last Day,oscore,-2.09,alcohol
3707,80,35-44,M,Professional certificate/ diploma,Used in Last Week,oscore,-1.97,alcohol
3708,81,65+,F,Doctorate degree,Used in Last Day,oscore,0.45,alcohol
3709,82,55-64,F,University degree,Used in Last Week,oscore,-0.02,alcohol
3710,83,55-64,M,Masters degree,Used in Last Week,oscore,-0.98,alcohol
3711,84,55-64,F,Left school at 17 years,Used in Last Year,oscore,-1.12,alcohol
3712,85,45-54,M,Left school at 16 years,Used in Last Week,oscore,-0.32,alcohol
3713,86,25-34,F,Left school at 18 years,Used in Last Year,oscore,-1.56,alcohol
3714,87,35-44,M,"Some college or university, no certificate or degree",Used in Last Week,oscore,-1.12,alcohol
3715,88,55-64,M,Left school at 16 years,Used in Last Week,oscore,-0.45,alcohol
3716,89,35-44,F,"Some college or university, no certificate or degree",Used in Last Year,oscore,-1.42,alcohol
3717,90,35-44,F,Masters degree,Used in Last Week,oscore,0.29,alcohol
3718,91,35-44,F,Masters degree,Used in Last Day,oscore,0.72,alcohol
3719,92,35-44,M,Professional certificate/ diploma,Used in Last Decade,oscore,0.72,alcohol
3720,93,25-34,M,Left school at 18 years,Used in Last Month,oscore,-0.45,alcohol
3721,94,65+,F,Left school at 16 years,Used in Last Year,oscore,-0.98,alcohol
3722,95,45-54,M,Masters degree,Used in Last Week,oscore,-0.98,alcohol
3723,96,45-54,M,Masters degree,Used in Last Day,oscore,1.06,alcohol
3724,97,35-44,F,University degree,Used in Last Month,oscore,0.29,alcohol
3725,98,45-54,F,Masters degree,Used in Last Week,oscore,-0.32,alcohol
3726,99,35-44,M,Doctorate degree,Used in Last Month,oscore,-0.02,alcohol
3727,100,25-34,F,University degree,Used in Last Day,oscore,0.72,alcohol
3728,101,25-34,M,Masters degree,Used in Last Day,oscore,0.58,alcohol
3729,102,45-54,F,Left school at 16 years,Used in Last Month,oscore,-1.68,alcohol
3730,103,45-54,M,Left school at 18 years,Used in Last Day,oscore,1.44,alcohol
3731,104,45-54,F,Professional certificate/ diploma,Used in Last Month,oscore,-0.32,alcohol
3732,105,25-34,F,"Some college or university, no certificate or degree",Used in Last Week,oscore,-0.18,alcohol
3733,106,35-44,M,Professional certificate/ diploma,Used in Last Year,oscore,-1.83,alcohol
3734,107,25-34,F,"Some college or university, no certificate or degree",Used in Last Month,oscore,-1.83,alcohol
3735,108,35-44,F,Left school at 16 years,Used in Last Week,oscore,-1.28,alcohol
3736,109,25-34,F,University degree,Used in Last Week,oscore,0.14,alcohol
3737,110,45-54,F,"Some college or university, no certificate or degree",Used in Last Week,oscore,-1.42,alcohol
3738,111,45-54,M,Masters degree,Used in Last Week,oscore,0.14,alcohol
3739,112,25-34,M,Masters degree,Used in Last Day,oscore,-0.85,alcohol
3740,113,25-34,F,University degree,Used in Last Year,oscore,0.88,alcohol
3741,114,45-54,F,Professional certificate/ diploma,Used in Last Month,oscore,0.29,alcohol
3742,115,35-44,M,"Some college or university, no certificate or degree",Used in Last Month,oscore,1.44,alcohol
3743,116,25-34,F,Professional certificate/ diploma,Used in Last Week,oscore,-0.85,alcohol
3744,117,35-44,M,Professional certificate/ diploma,Used in Last Month,oscore,0.14,alcohol
3745,118,25-34,F,University degree,Used in Last Week,oscore,1.44,alcohol
3746,119,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,oscore,-2.4,alcohol
3747,120,35-44,F,University degree,Used in Last Week,oscore,-0.98,alcohol
3748,121,25-34,F,Masters degree,Used in Last Day,oscore,-0.98,alcohol
3749,122,35-44,F,Professional certificate/ diploma,Used in Last Decade,oscore,-1.56,alcohol
3750,123,55-64,M,Masters degree,Used in Last Day,oscore,-0.18,alcohol
3751,124,25-34,F,University degree,Used in Last Week,oscore,-0.45,alcohol
3752,125,45-54,M,Left school at 16 years,Used in Last Year,oscore,0.29,alcohol
3753,126,55-64,M,University degree,Used in Last Day,oscore,0.45,alcohol
3754,127,45-54,M,University degree,Used in Last Week,oscore,-1.12,alcohol
3755,128,45-54,F,Left school at 17 years,Used in Last Week,oscore,-0.85,alcohol
3756,130,45-54,F,Masters degree,Used in Last Day,oscore,-1.12,alcohol
3757,131,45-54,F,Left school at 16 years,Used in Last Week,oscore,-1.42,alcohol
3758,132,45-54,F,Left school at 16 years,Used in Last Month,oscore,-1.28,alcohol
3759,133,35-44,F,Left school at 18 years,Used in Last Month,oscore,-0.58,alcohol
3760,134,35-44,M,Masters degree,Used in Last Week,oscore,0.29,alcohol
3761,135,25-34,F,Masters degree,Used in Last Day,oscore,-0.32,alcohol
3762,137,45-54,F,University degree,Used in Last Week,oscore,-1.68,alcohol
3763,138,45-54,F,University degree,Used in Last Month,oscore,0.29,alcohol
3764,139,55-64,M,University degree,Used in Last Day,oscore,0.14,alcohol
3765,140,45-54,M,Left school at 16 years,Used in Last Day,oscore,-0.58,alcohol
