,ID,age,gender,education,alcohol,variable,value
2310,524,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.32197
2311,525,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.47617
2312,526,35-44,F,Left school before 16 years,CL2,escore,-0.80615
2313,527,45-54,F,University degree,CL5,escore,0.63779
2314,528,55-64,M,Left school at 18 years,CL6,escore,0.47617
2315,529,18-24,M,Professional certificate/ diploma,CL4,escore,-1.37639
2316,530,35-44,M,Doctorate degree,CL6,escore,-0.15487
2317,531,25-34,F,Professional certificate/ diploma,CL5,escore,1.11406
2318,532,55-64,M,University degree,CL5,escore,0.00332
2319,533,45-54,M,University degree,CL5,escore,-1.50796
2320,534,18-24,F,University degree,CL4,escore,0.16767
2321,535,25-34,M,Masters degree,CL4,escore,-0.15487
2322,536,35-44,F,Masters degree,CL6,escore,2.32338
2323,537,25-34,F,University degree,CL5,escore,0.00332
2324,538,18-24,F,University degree,CL6,escore,0.80523
2325,540,35-44,F,University degree,CL6,escore,-0.30033
2326,541,45-54,M,Masters degree,CL6,escore,1.2861
2327,542,45-54,F,University degree,CL5,escore,0.32197
2328,543,45-54,F,University degree,CL4,escore,0.80523
2329,544,35-44,M,Left school at 17 years,CL6,escore,0.80523
2330,545,25-34,F,University degree,CL6,escore,0.63779
2331,546,18-24,F,Left school at 16 years,CL5,escore,-0.57545
2332,547,35-44,F,Professional certificate/ diploma,CL5,escore,0.16767
2333,548,45-54,F,"Some college or university, no certificate or degree",CL2,escore,-0.43999
2334,549,25-34,F,Masters degree,CL5,escore,-0.69509
2335,550,18-24,M,University degree,CL4,escore,-0.43999
2336,551,25-34,F,Masters degree,CL4,escore,1.11406
2337,552,18-24,F,University degree,CL6,escore,-0.43999
2338,553,35-44,F,Masters degree,CL4,escore,1.2861
2339,554,18-24,F,Masters degree,CL2,escore,-1.50796
2340,555,25-34,F,Masters degree,CL6,escore,-1.92173
2341,556,25-34,F,Doctorate degree,CL4,escore,0.47617
2342,557,45-54,F,Masters degree,CL6,escore,-0.94779
2343,558,18-24,F,University degree,CL6,escore,-0.30033
2344,559,25-34,F,University degree,CL4,escore,0.96248
2345,560,18-24,F,University degree,CL5,escore,-0.15487
2346,561,45-54,F,University degree,CL6,escore,0.00332
2347,562,18-24,F,University degree,CL6,escore,0.16767
2348,563,35-44,F,University degree,CL5,escore,0.63779
2349,564,35-44,F,Masters degree,CL6,escore,0.47617
2350,565,25-34,F,Masters degree,CL5,escore,0.32197
2351,566,45-54,F,"Some college or university, no certificate or degree",CL2,escore,-0.43999
2352,567,45-54,F,Masters degree,CL5,escore,-0.80615
2353,568,18-24,F,University degree,CL5,escore,1.11406
2354,569,18-24,M,University degree,CL6,escore,0.63779
2355,571,35-44,F,Doctorate degree,CL6,escore,0.80523
2356,572,35-44,F,Professional certificate/ diploma,CL6,escore,1.11406
2357,573,18-24,F,Masters degree,CL6,escore,1.93886
2358,574,35-44,M,Professional certificate/ diploma,CL6,escore,-1.23177
2359,575,55-64,F,"Some college or university, no certificate or degree",CL5,escore,0.96248
2360,576,35-44,F,University degree,CL6,escore,-1.50796
2361,577,35-44,M,Left school at 16 years,CL5,escore,0.80523
2362,578,25-34,F,Masters degree,CL4,escore,0.32197
2363,579,25-34,F,University degree,CL4,escore,0.80523
2364,580,45-54,F,Masters degree,CL6,escore,-0.15487
2365,581,18-24,F,Masters degree,CL5,escore,0.80523
2366,582,35-44,F,"Some college or university, no certificate or degree",CL6,escore,0.00332
2367,583,18-24,M,"Some college or university, no certificate or degree",CL6,escore,1.58487
2368,584,35-44,F,Professional certificate/ diploma,CL6,escore,1.2861
2369,585,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.00332
2370,586,25-34,M,University degree,CL2,escore,0.16767
2371,587,18-24,M,Professional certificate/ diploma,CL2,escore,-0.57545
2372,588,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.32197
2373,589,25-34,F,Left school at 16 years,CL5,escore,1.58487
2374,590,55-64,F,"Some college or university, no certificate or degree",CL2,escore,-0.15487
2375,591,35-44,M,Left school before 16 years,CL3,escore,0.00332
2376,592,35-44,F,University degree,CL6,escore,-0.43999
2377,593,35-44,F,Professional certificate/ diploma,CL5,escore,0.96248
2378,594,25-34,M,Professional certificate/ diploma,CL5,escore,0.96248
2379,595,35-44,M,Left school at 16 years,CL5,escore,-0.57545
2380,596,45-54,M,Professional certificate/ diploma,CL6,escore,0.16767
2381,597,18-24,M,Left school at 16 years,CL5,escore,0.80523
2382,599,45-54,F,Professional certificate/ diploma,CL5,escore,0.16767
2383,600,18-24,M,"Some college or university, no certificate or degree",CL4,escore,-0.15487
2384,601,45-54,F,Masters degree,CL6,escore,-0.57545
2385,602,18-24,M,"Some college or university, no certificate or degree",CL4,escore,1.11406
2386,603,18-24,M,"Some college or university, no certificate or degree",CL6,escore,-1.6334
2387,604,18-24,M,"Some college or university, no certificate or degree",CL6,escore,-0.94779
2388,605,25-34,M,University degree,CL5,escore,-0.80615
2389,606,35-44,F,"Some college or university, no certificate or degree",CL5,escore,0.32197
2390,607,55-64,F,Masters degree,CL5,escore,1.11406
2391,608,18-24,M,University degree,CL5,escore,0.00332
2392,609,45-54,M,"Some college or university, no certificate or degree",CL2,escore,0.00332
2393,610,25-34,M,University degree,CL6,escore,1.2861
2394,611,55-64,F,Professional certificate/ diploma,CL4,escore,-0.80615
2395,612,25-34,M,"Some college or university, no certificate or degree",CL6,escore,0.96248
2396,613,25-34,M,University degree,CL5,escore,0.32197
2397,615,25-34,F,Masters degree,CL6,escore,-0.30033
2398,616,25-34,F,Left school before 16 years,CL3,escore,0.63779
2399,617,35-44,F,Masters degree,CL6,escore,-0.15487
2400,618,45-54,F,"Some college or university, no certificate or degree",CL2,escore,0.16767
2401,619,45-54,M,Professional certificate/ diploma,CL3,escore,1.2861
2402,620,25-34,F,University degree,CL5,escore,1.11406
2403,621,55-64,M,Masters degree,CL5,escore,-0.94779
2404,622,18-24,M,Left school at 18 years,CL5,escore,-1.37639
2405,623,35-44,M,Masters degree,CL5,escore,0.63779
2406,624,35-44,F,Masters degree,CL5,escore,0.47617
2407,625,45-54,F,Masters degree,CL6,escore,0.00332
2408,626,35-44,F,Doctorate degree,CL6,escore,0.00332
2409,627,35-44,F,Professional certificate/ diploma,CL6,escore,-0.57545
2410,628,35-44,M,University degree,CL6,escore,-0.43999
2411,629,35-44,M,Doctorate degree,CL5,escore,-0.94779
2412,630,25-34,F,Doctorate degree,CL5,escore,-1.09207
2413,631,45-54,F,Doctorate degree,CL5,escore,0.47617
2414,632,35-44,F,Doctorate degree,CL6,escore,-0.30033
2415,633,18-24,F,University degree,CL5,escore,-0.15487
2416,634,18-24,F,University degree,CL5,escore,-0.43999
2417,635,25-34,F,Masters degree,CL5,escore,1.74091
2418,636,35-44,F,Doctorate degree,CL6,escore,0.16767
2419,637,35-44,M,University degree,CL5,escore,-0.30033
2420,638,45-54,F,University degree,CL4,escore,0.32197
2421,639,35-44,F,Professional certificate/ diploma,CL4,escore,0.16767
2422,640,18-24,F,University degree,CL5,escore,-0.57545
2423,641,25-34,M,Left school at 16 years,CL5,escore,1.74091
2424,642,45-54,M,University degree,CL5,escore,-0.69509
2425,643,35-44,M,Masters degree,CL5,escore,0.96248
2426,644,25-34,F,Masters degree,CL5,escore,0.63779
2427,645,25-34,M,"Some college or university, no certificate or degree",CL5,escore,-0.30033
2428,646,45-54,M,University degree,CL5,escore,-0.30033
2429,647,18-24,F,University degree,CL5,escore,-0.15487
2430,648,18-24,M,"Some college or university, no certificate or degree",CL6,escore,1.45421
2431,649,35-44,F,Masters degree,CL6,escore,0.16767
2432,650,25-34,F,University degree,CL5,escore,0.80523
2433,651,45-54,F,Masters degree,CL5,escore,2.127
2434,652,25-34,M,Masters degree,CL5,escore,0.47617
2435,653,18-24,M,"Some college or university, no certificate or degree",CL5,escore,1.2861
2436,654,18-24,M,"Some college or university, no certificate or degree",CL6,escore,0.63779
2437,655,35-44,F,Left school at 16 years,CL5,escore,0.96248
2438,656,25-34,M,Masters degree,CL5,escore,1.74091
2439,657,45-54,M,"Some college or university, no certificate or degree",CL4,escore,-0.57545
2440,658,45-54,M,Professional certificate/ diploma,CL5,escore,-1.37639
2441,659,18-24,M,Masters degree,CL5,escore,0.16767
2442,660,25-34,M,Doctorate degree,CL5,escore,1.45421
2443,661,25-34,F,Masters degree,CL6,escore,0.47617
2444,662,18-24,F,University degree,CL6,escore,-1.09207
2445,663,25-34,F,University degree,CL5,escore,0.16767
2446,664,25-34,F,Doctorate degree,CL6,escore,-1.23177
2447,665,18-24,M,University degree,CL5,escore,-0.43999
2448,666,25-34,F,Doctorate degree,CL6,escore,-0.43999
2449,667,18-24,M,Left school at 18 years,CL3,escore,-0.30033
2450,668,35-44,M,"Some college or university, no certificate or degree",CL4,escore,-0.69509
2451,669,45-54,M,University degree,CL5,escore,2.127
2452,670,25-34,M,"Some college or university, no certificate or degree",CL6,escore,0.96248
2453,671,18-24,M,Professional certificate/ diploma,CL5,escore,0.16767
2454,672,35-44,M,Professional certificate/ diploma,CL2,escore,0.80523
2455,673,18-24,M,University degree,CL2,escore,0.00332
2456,674,18-24,F,"Some college or university, no certificate or degree",CL5,escore,1.11406
2457,675,18-24,F,Masters degree,CL3,escore,-0.69509
2458,676,35-44,M,Professional certificate/ diploma,CL3,escore,-0.30033
2459,677,18-24,M,Professional certificate/ diploma,CL3,escore,0.00332
2460,678,25-34,M,University degree,CL6,escore,-0.30033
2461,680,18-24,F,"Some college or university, no certificate or degree",CL5,escore,-0.30033
2462,681,45-54,M,Doctorate degree,CL6,escore,-0.80615
2463,682,35-44,M,"Some college or university, no certificate or degree",CL6,escore,0.00332
2464,683,25-34,M,Masters degree,CL6,escore,-1.7625
2465,684,35-44,F,University degree,CL3,escore,-0.15487
2466,685,35-44,F,Professional certificate/ diploma,CL4,escore,-0.69509
2467,686,25-34,M,University degree,CL6,escore,0.16767
2468,687,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.96248
2469,688,45-54,F,Left school before 16 years,CL4,escore,0.63779
2470,689,35-44,M,"Some college or university, no certificate or degree",CL2,escore,1.11406
2471,690,55-64,F,Masters degree,CL6,escore,-0.69509
2472,691,55-64,M,"Some college or university, no certificate or degree",CL6,escore,-0.69509
2473,692,25-34,F,University degree,CL4,escore,-0.15487
2474,693,45-54,F,Masters degree,CL6,escore,-0.69509
2475,694,35-44,M,Masters degree,CL6,escore,-0.30033
2476,695,35-44,M,Professional certificate/ diploma,CL5,escore,-0.57545
2477,696,35-44,F,Masters degree,CL6,escore,-0.43999
2478,697,55-64,M,University degree,CL5,escore,0.32197
2479,698,45-54,F,University degree,CL4,escore,-0.30033
2480,699,35-44,M,University degree,CL6,escore,-0.94779
2481,700,55-64,M,"Some college or university, no certificate or degree",CL6,escore,-1.09207
2482,701,35-44,F,"Some college or university, no certificate or degree",CL5,escore,0.16767
2483,703,35-44,F,University degree,CL3,escore,0.63779
2484,704,55-64,M,University degree,CL6,escore,0.80523
2485,705,35-44,M,"Some college or university, no certificate or degree",CL6,escore,-0.30033
2486,706,18-24,M,"Some college or university, no certificate or degree",CL3,escore,0.32197
2487,707,18-24,F,University degree,CL4,escore,-0.94779
2488,708,25-34,M,University degree,CL5,escore,1.93886
2489,709,18-24,M,"Some college or university, no certificate or degree",CL5,escore,-0.57545
2490,710,18-24,M,Professional certificate/ diploma,CL3,escore,-0.30033
2491,711,18-24,M,University degree,CL5,escore,0.16767
2492,712,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-0.15487
2493,713,25-34,F,Masters degree,CL4,escore,0.32197
2494,714,18-24,M,University degree,CL6,escore,0.80523
2495,715,18-24,M,Professional certificate/ diploma,CL5,escore,1.11406
2496,716,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.47617
2497,717,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-1.50796
2498,718,35-44,M,University degree,CL5,escore,-0.80615
2499,719,18-24,M,Left school at 16 years,CL5,escore,-1.23177
2500,720,55-64,M,University degree,CL5,escore,-0.94779
2501,721,35-44,M,"Some college or university, no certificate or degree",CL6,escore,0.80523
2502,722,35-44,F,Professional certificate/ diploma,CL4,escore,-0.69509
2503,724,25-34,F,University degree,CL5,escore,1.45421
2504,725,35-44,F,"Some college or university, no certificate or degree",CL4,escore,-0.57545
2505,726,25-34,F,Masters degree,CL5,escore,0.63779
2506,727,18-24,M,Professional certificate/ diploma,CL6,escore,-0.94779
2507,728,25-34,F,Masters degree,CL5,escore,0.63779
2508,729,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.16767
2509,730,25-34,F,Left school at 16 years,CL6,escore,0.32197
2510,731,35-44,F,University degree,CL5,escore,0.00332
2511,732,18-24,M,"Some college or university, no certificate or degree",CL4,escore,1.2861
2512,733,18-24,F,University degree,CL6,escore,0.63779
2513,734,35-44,M,Left school at 16 years,CL5,escore,0.16767
2514,735,18-24,M,"Some college or university, no certificate or degree",CL6,escore,1.11406
2515,736,25-34,F,University degree,CL4,escore,2.127
2516,737,25-34,M,University degree,CL6,escore,-1.7625
2517,738,25-34,M,University degree,CL5,escore,1.74091
2518,739,18-24,F,Left school at 18 years,CL4,escore,0.16767
2519,740,25-34,M,Masters degree,CL6,escore,-1.37639
2520,741,35-44,M,"Some college or university, no certificate or degree",CL5,escore,0.16767
2521,743,45-54,F,Masters degree,CL6,escore,-0.30033
2522,744,35-44,F,University degree,CL5,escore,0.16767
2523,746,45-54,M,"Some college or university, no certificate or degree",CL5,escore,0.16767
2524,747,25-34,F,Left school at 16 years,CL6,escore,0.32197
2525,748,25-34,F,Masters degree,CL4,escore,0.47617
2526,749,35-44,F,Left school at 16 years,CL2,escore,-0.57545
2527,750,35-44,F,Doctorate degree,CL5,escore,0.96248
2528,751,35-44,M,Masters degree,CL5,escore,0.00332
2529,752,25-34,F,Professional certificate/ diploma,CL6,escore,1.45421
2530,753,25-34,M,"Some college or university, no certificate or degree",CL6,escore,-0.30033
2531,754,25-34,F,Masters degree,CL5,escore,1.11406
2532,755,25-34,M,Doctorate degree,CL4,escore,0.47617
2533,756,18-24,M,"Some college or university, no certificate or degree",CL5,escore,1.58487
2534,757,18-24,F,Masters degree,CL5,escore,0.32197
2535,758,18-24,F,"Some college or university, no certificate or degree",CL6,escore,-0.43999
2536,759,18-24,M,"Some college or university, no certificate or degree",CL3,escore,0.63779
2537,760,18-24,M,Doctorate degree,CL6,escore,1.74091
2538,761,25-34,M,University degree,CL6,escore,-0.94779
2539,762,18-24,M,"Some college or university, no certificate or degree",CL6,escore,0.32197
2540,763,25-34,F,University degree,CL6,escore,0.80523
2541,764,18-24,F,University degree,CL5,escore,0.80523
2542,765,18-24,M,Left school at 16 years,CL5,escore,-0.94779
2543,766,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.16767
2544,767,18-24,M,"Some college or university, no certificate or degree",CL6,escore,-0.80615
2545,768,25-34,M,Masters degree,CL6,escore,-0.69509
2546,769,18-24,F,Professional certificate/ diploma,CL4,escore,0.63779
2547,770,25-34,M,University degree,CL6,escore,0.16767
2548,771,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-1.6334
2549,773,45-54,M,University degree,CL6,escore,-1.37639
2550,775,18-24,M,Left school at 18 years,CL4,escore,-0.43999
2551,776,18-24,F,"Some college or university, no certificate or degree",CL4,escore,0.47617
2552,777,25-34,M,"Some college or university, no certificate or degree",CL3,escore,-0.43999
2553,778,18-24,M,"Some college or university, no certificate or degree",CL6,escore,0.63779
2554,779,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.00332
2555,780,45-54,M,Left school at 18 years,CL5,escore,1.11406
2556,781,18-24,F,Professional certificate/ diploma,CL4,escore,-2.11437
2557,782,35-44,M,Professional certificate/ diploma,CL6,escore,-0.94779
2558,783,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-1.23177
2559,784,18-24,F,"Some college or university, no certificate or degree",CL6,escore,-0.43999
2560,785,18-24,F,"Some college or university, no certificate or degree",CL6,escore,0.47617
2561,786,18-24,M,Masters degree,CL4,escore,-0.80615
2562,787,18-24,M,Professional certificate/ diploma,CL3,escore,0.00332
2563,788,35-44,M,Professional certificate/ diploma,CL6,escore,-0.57545
2564,789,18-24,M,Professional certificate/ diploma,CL5,escore,1.2861
2565,790,18-24,M,"Some college or university, no certificate or degree",CL3,escore,0.16767
2566,791,18-24,M,University degree,CL5,escore,-0.43999
2567,792,18-24,M,"Some college or university, no certificate or degree",CL5,escore,-0.15487
2568,793,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.63779
2569,794,25-34,M,"Some college or university, no certificate or degree",CL5,escore,2.127
2570,795,25-34,M,University degree,CL6,escore,-0.57545
2571,796,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-0.57545
2572,797,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-0.94779
2573,798,18-24,F,University degree,CL5,escore,0.80523
2574,799,25-34,F,"Some college or university, no certificate or degree",CL6,escore,1.11406
2575,800,35-44,F,"Some college or university, no certificate or degree",CL5,escore,0.63779
2576,801,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.16767
2577,802,25-34,M,"Some college or university, no certificate or degree",CL3,escore,-0.43999
2578,803,18-24,M,Left school at 18 years,CL5,escore,0.32197
2579,804,45-54,F,University degree,CL6,escore,-0.94779
2580,805,25-34,M,"Some college or university, no certificate or degree",CL5,escore,-1.09207
2581,806,18-24,F,University degree,CL6,escore,-1.50796
2582,807,25-34,M,"Some college or university, no certificate or degree",CL2,escore,0.16767
2583,808,18-24,M,Left school at 17 years,CL5,escore,0.80523
2584,809,18-24,F,"Some college or university, no certificate or degree",CL6,escore,0.80523
2585,810,18-24,M,University degree,CL3,escore,-1.92173
2586,811,18-24,M,Professional certificate/ diploma,CL5,escore,-0.80615
2587,812,18-24,M,Left school at 18 years,CL3,escore,0.80523
2588,813,45-54,F,University degree,CL6,escore,1.74091
2589,814,18-24,M,"Some college or university, no certificate or degree",CL4,escore,-0.69509
2590,815,25-34,M,University degree,CL3,escore,-0.57545
2591,816,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.00332
2592,817,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.32197
2593,818,18-24,F,"Some college or university, no certificate or degree",CL3,escore,-0.94779
2594,819,45-54,M,Doctorate degree,CL4,escore,0.16767
2595,820,25-34,F,Masters degree,CL5,escore,-0.80615
2596,821,18-24,M,"Some college or university, no certificate or degree",CL3,escore,1.74091
2597,822,18-24,F,University degree,CL5,escore,0.32197
2598,823,18-24,M,"Some college or university, no certificate or degree",CL6,escore,1.11406
2599,824,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.16767
2600,825,18-24,M,"Some college or university, no certificate or degree",CL5,escore,-0.30033
2601,826,18-24,M,University degree,CL5,escore,-2.11437
2602,827,18-24,M,University degree,CL6,escore,0.63779
2603,828,18-24,M,"Some college or university, no certificate or degree",CL3,escore,1.45421
2604,829,18-24,M,University degree,CL6,escore,0.47617
2605,830,25-34,F,Doctorate degree,CL5,escore,0.47617
2606,831,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.63779
2607,832,18-24,M,Professional certificate/ diploma,CL6,escore,-0.43999
2608,833,18-24,M,"Some college or university, no certificate or degree",CL4,escore,-0.80615
2609,834,25-34,F,Masters degree,CL6,escore,-0.94779
2610,835,45-54,F,Doctorate degree,CL6,escore,0.16767
2611,836,25-34,F,Masters degree,CL5,escore,-0.69509
2612,837,18-24,M,University degree,CL6,escore,-0.94779
2613,838,18-24,M,University degree,CL4,escore,0.16767
2614,839,45-54,M,Masters degree,CL3,escore,0.32197
2615,840,18-24,M,"Some college or university, no certificate or degree",CL4,escore,1.74091
2616,841,18-24,M,Left school at 18 years,CL6,escore,0.00332
2617,842,25-34,M,University degree,CL5,escore,-1.37639
2618,843,18-24,M,"Some college or university, no certificate or degree",CL4,escore,-0.15487
2619,844,18-24,M,"Some college or university, no certificate or degree",CL3,escore,0.00332
2620,845,25-34,F,"Some college or university, no certificate or degree",CL6,escore,-0.43999
2621,846,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.80523
2622,847,35-44,M,"Some college or university, no certificate or degree",CL6,escore,-1.6334
2623,848,18-24,F,Professional certificate/ diploma,CL2,escore,-0.43999
2624,849,25-34,M,University degree,CL3,escore,-0.43999
2625,850,18-24,M,Left school at 18 years,CL6,escore,0.63779
2626,851,55-64,M,Masters degree,CL4,escore,0.00332
2627,852,18-24,M,Masters degree,CL5,escore,-0.94779
2628,854,25-34,M,University degree,CL2,escore,0.16767
2629,855,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.00332
2630,856,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.16767
2631,857,18-24,M,Left school at 16 years,CL5,escore,0.80523
2632,858,25-34,M,"Some college or university, no certificate or degree",CL2,escore,0.47617
2633,859,18-24,M,Professional certificate/ diploma,CL5,escore,1.2861
2634,860,25-34,M,Left school at 17 years,CL4,escore,-0.80615
2635,861,18-24,M,"Some college or university, no certificate or degree",CL5,escore,2.32338
2636,862,18-24,F,"Some college or university, no certificate or degree",CL3,escore,-1.23177
2637,863,25-34,M,"Some college or university, no certificate or degree",CL6,escore,0.80523
2638,864,18-24,M,University degree,CL6,escore,-0.15487
2639,866,18-24,M,"Some college or university, no certificate or degree",CL6,escore,-0.57545
2640,867,18-24,F,"Some college or university, no certificate or degree",CL5,escore,1.11406
2641,868,18-24,M,"Some college or university, no certificate or degree",CL5,escore,-1.09207
2642,869,18-24,F,"Some college or university, no certificate or degree",CL6,escore,1.2861
2643,870,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.32197
2644,871,45-54,M,Professional certificate/ diploma,CL3,escore,-0.69509
2645,872,25-34,M,University degree,CL6,escore,-0.80615
2646,873,18-24,M,Masters degree,CL5,escore,1.58487
2647,874,25-34,F,Masters degree,CL5,escore,-0.43999
2648,875,18-24,F,"Some college or university, no certificate or degree",CL4,escore,-1.7625
2649,876,25-34,F,Masters degree,CL5,escore,-1.09207
2650,877,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.32197
2651,878,35-44,M,Professional certificate/ diploma,CL3,escore,-2.11437
2652,879,25-34,M,"Some college or university, no certificate or degree",CL5,escore,0.47617
2653,880,18-24,F,University degree,CL5,escore,1.45421
2654,881,25-34,M,Masters degree,CL6,escore,0.00332
2655,882,18-24,F,Left school before 16 years,CL5,escore,-0.15487
2656,883,35-44,M,"Some college or university, no certificate or degree",CL4,escore,-1.09207
2657,884,25-34,F,"Some college or university, no certificate or degree",CL2,escore,1.45421
2658,885,18-24,M,"Some college or university, no certificate or degree",CL6,escore,1.2861
2659,886,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.00332
2660,887,25-34,M,"Some college or university, no certificate or degree",CL4,escore,-2.72827
2661,888,18-24,M,University degree,CL4,escore,-0.43999
2662,889,18-24,M,University degree,CL6,escore,2.57309
2663,890,18-24,F,"Some college or university, no certificate or degree",CL5,escore,1.45421
2664,891,18-24,F,"Some college or university, no certificate or degree",CL5,escore,0.80523
2665,892,18-24,M,"Some college or university, no certificate or degree",CL4,escore,0.96248
2666,893,25-34,M,"Some college or university, no certificate or degree",CL5,escore,2.127
2667,894,25-34,M,"Some college or university, no certificate or degree",CL3,escore,-0.43999
2668,895,25-34,M,"Some college or university, no certificate or degree",CL4,escore,-1.50796
2669,896,25-34,F,Left school at 17 years,CL6,escore,-2.11437
2670,897,18-24,M,"Some college or university, no certificate or degree",CL5,escore,-1.7625
2671,898,18-24,F,Professional certificate/ diploma,CL4,escore,-0.30033
2672,899,25-34,M,Masters degree,CL5,escore,1.11406
2673,900,25-34,M,University degree,CL6,escore,-0.30033
2674,901,18-24,F,"Some college or university, no certificate or degree",CL6,escore,-0.94779
2675,902,18-24,M,University degree,CL5,escore,1.74091
2676,903,18-24,M,"Some college or university, no certificate or degree",CL5,escore,-0.94779
2677,904,25-34,F,Masters degree,CL6,escore,-0.69509
2678,905,18-24,M,Left school at 18 years,CL4,escore,0.96248
2679,906,35-44,F,University degree,CL6,escore,-0.30033
2680,907,18-24,M,"Some college or university, no certificate or degree",CL2,escore,-0.15487
2681,908,25-34,M,Professional certificate/ diploma,CL5,escore,0.32197
2682,909,35-44,M,University degree,CL4,escore,0.32197
2683,910,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.00332
2684,911,18-24,M,University degree,CL5,escore,0.63779
2685,912,25-34,F,"Some college or university, no certificate or degree",CL6,escore,0.47617
2686,913,18-24,F,"Some college or university, no certificate or degree",CL4,escore,-2.72827
2687,914,18-24,M,"Some college or university, no certificate or degree",CL4,escore,-1.37639
2688,915,35-44,M,University degree,CL3,escore,-1.50796
2689,916,18-24,F,"Some college or university, no certificate or degree",CL5,escore,2.32338
2690,917,25-34,F,Left school at 17 years,CL5,escore,-2.5383
2691,918,18-24,M,Left school at 18 years,CL6,escore,0.00332
2692,919,25-34,M,Left school at 16 years,CL4,escore,-0.15487
2693,920,18-24,F,"Some college or university, no certificate or degree",CL3,escore,-1.6334
2694,921,18-24,M,Left school at 18 years,CL6,escore,1.45421
2695,922,35-44,M,Masters degree,CL5,escore,-0.30033
2696,923,18-24,M,"Some college or university, no certificate or degree",CL6,escore,0.47617
2697,924,18-24,M,Left school before 16 years,CL3,escore,-0.30033
2698,925,18-24,M,"Some college or university, no certificate or degree",CL3,escore,-1.37639
2699,926,25-34,M,Left school at 18 years,CL3,escore,-1.23177
2700,927,18-24,M,Left school at 16 years,CL3,escore,-1.50796
2701,928,18-24,M,Professional certificate/ diploma,CL5,escore,1.2861
2702,929,25-34,M,"Some college or university, no certificate or degree",CL5,escore,-1.23177
2703,930,25-34,M,"Some college or university, no certificate or degree",CL4,escore,1.45421
2704,931,18-24,F,"Some college or university, no certificate or degree",CL4,escore,0.96248
2705,932,35-44,M,Left school at 16 years,CL3,escore,-0.69509
2706,933,25-34,F,University degree,CL4,escore,-0.69509
2707,934,18-24,F,Left school at 17 years,CL3,escore,-1.92173
2708,935,18-24,F,University degree,CL5,escore,0.00332
2709,936,18-24,F,"Some college or university, no certificate or degree",CL5,escore,1.11406
2710,937,18-24,F,"Some college or university, no certificate or degree",CL4,escore,-0.69509
2711,938,18-24,M,Professional certificate/ diploma,CL3,escore,1.2861
2712,939,18-24,M,"Some college or university, no certificate or degree",CL6,escore,0.32197
2713,940,18-24,F,University degree,CL5,escore,0.32197
2714,941,18-24,M,"Some college or university, no certificate or degree",CL6,escore,-0.43999
2715,942,25-34,F,Left school at 18 years,CL5,escore,1.2861
2716,943,25-34,M,Professional certificate/ diploma,CL4,escore,2.32338
2717,944,18-24,F,"Some college or university, no certificate or degree",CL3,escore,-0.80615
2718,945,25-34,F,Masters degree,CL3,escore,-0.30033
2719,946,18-24,F,"Some college or university, no certificate or degree",CL4,escore,-1.09207
2720,947,18-24,M,Left school at 18 years,CL4,escore,-0.30033
2721,948,25-34,M,Professional certificate/ diploma,CL6,escore,-1.37639
2722,949,25-34,F,Left school at 18 years,CL2,escore,0.00332
2723,950,35-44,M,Professional certificate/ diploma,CL5,escore,-1.7625
2724,951,18-24,F,University degree,CL6,escore,0.00332
2725,952,18-24,F,"Some college or university, no certificate or degree",CL3,escore,0.32197
2726,953,18-24,M,"Some college or university, no certificate or degree",CL5,escore,0.16767
2727,954,25-34,F,University degree,CL5,escore,-0.94779
2728,956,18-24,M,Professional certificate/ diploma,CL4,escore,-0.57545
2729,957,45-54,M,University degree,CL5,escore,-0.57545
2730,958,35-44,M,Professional certificate/ diploma,CL6,escore,-0.30033
2731,959,18-24,M,"Some college or university, no certificate or degree",CL5,escore,1.58487
2732,960,18-24,F,University degree,CL5,escore,0.16767
