,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
390,1169,18-24,M,4,USA,White,0.82562,-0.30033,1.43533,-0.76096,-1.0145,Used in Last Day,1,6
391,1172,35-44,M,5,USA,White,0.13606,-0.57545,-0.01928,-0.76096,0.12331,Used in Last Year,1,3
392,1198,18-24,M,5,USA,White,0.52135,-0.30033,-0.58331,-0.76096,-0.52745,Used in Last Month,1,4
393,1203,18-24,M,5,USA,White,0.31287,0.96248,1.88511,-0.76096,-0.65253,Used in Last Week,1,5
397,1308,25-34,M,8,UK,White,-0.92104,-1.23177,-0.17779,-0.76096,0.12331,Used in Last Day,1,6
399,1390,18-24,M,5,USA,White,-0.14882,0.47617,0.88309,-0.76096,0.25953,Used in Last Week,1,5
401,1421,25-34,M,5,USA,White,0.82562,-0.43999,0.58331,-0.76096,-0.52745,Used in Last Month,1,4
403,1544,18-24,M,5,UK,White,-0.14882,-0.43999,-0.71727,-0.76096,-1.64101,Used in Last Month,1,4
406,1570,25-34,M,7,UK,White,-0.05188,0.47617,-1.11902,-0.76096,-0.27607,Used in Last Week,1,5
407,1624,45-54,M,8,UK,White,0.13606,-0.69509,-0.17779,-0.76096,-0.27607,Used in Last Week,1,5
408,1683,45-54,M,6,UK,White,-0.46725,0.47617,-1.11902,-0.76096,-0.14277,Used in Last Week,1,5
409,1706,55-64,M,5,UK,White,0.62967,-1.7625,-1.11902,-0.76096,-1.78169,Used in Last Month,1,4
410,1716,45-54,M,6,UK,White,1.23461,0.47617,0.58331,-0.76096,0.93949,Used over a Decade Ago,1,Used over a Decade Ago
411,1717,45-54,M,8,UK,White,-0.14882,0.80523,-0.58331,-0.76096,-0.89891,Used in Last Week,1,5
413,1759,45-54,M,8,Australia,White,-0.92104,-0.43999,0.14143,-0.76096,1.13407,Used in Last Year,1,3
415,1817,45-54,M,7,UK,White,-1.86962,0.00332,0.14143,-0.76096,-0.14277,Used in Last Week,1,5
416,1850,45-54,M,6,USA,Black,-1.05308,-0.94779,-0.97631,-0.76096,0.7583,Used in Last Decade,1,2
418,1879,18-24,M,5,USA,Mixed-White/Asian,-0.05188,-1.7625,0.58331,-0.76096,-0.14277,Used in Last Week,1,5
419,1882,18-24,M,7,Canada,White,-0.05188,-1.7625,0.88309,-0.76096,2.33337,Used in Last Month,1,4
421,22,65+,M,1,UK,White,-1.1943,0.47617,-1.11902,-0.60633,1.81175,Used in Last Week,1,5
422,64,45-54,M,7,UK,White,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,Used in Last Week,1,5
425,99,35-44,M,9,Canada,White,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,Used in Last Month,1,4
426,112,25-34,M,8,UK,White,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,Used in Last Day,1,6
428,228,18-24,M,5,UK,White,0.22393,0.96248,-0.97631,-0.60633,0.58489,Used in Last Week,1,5
432,355,25-34,M,2,UK,White,-0.46725,0.00332,-0.17779,-0.60633,0.41594,Used in Last Decade,1,2
433,382,35-44,M,7,UK,White,-0.46725,1.11406,-0.31776,-0.60633,0.12331,Used in Last Decade,1,2
435,404,18-24,M,5,UK,White,-0.92104,-0.69509,-0.31776,-0.60633,-1.25773,Used in Last Week,1,5
436,499,25-34,M,8,UK,White,0.04257,1.2861,2.90161,-0.60633,-0.00665,Used in Last Day,1,6
437,504,18-24,M,5,USA,White,-1.55078,0.63779,-0.31776,-0.60633,-0.27607,Used in Last Week,1,5
439,591,35-44,M,1,UK,White,-0.58016,0.00332,-0.58331,-0.60633,0.58489,Used in Last Year,1,3
440,604,18-24,M,5,USA,White,1.98437,-0.94779,0.7233,-0.60633,-1.0145,Used in Last Day,1,6
442,619,45-54,M,6,Republic of Ireland,White,-0.92104,1.2861,-0.31776,-0.60633,0.7583,Used in Last Year,1,3
443,653,18-24,M,5,Australia,White,1.02119,1.2861,1.24033,-0.60633,-1.0145,Used in Last Week,1,5
444,672,35-44,M,6,UK,White,-0.46725,0.80523,-0.01928,-0.60633,0.12331,Used in Last Decade,1,2
446,678,25-34,M,7,UK,White,0.52135,-0.30033,0.44585,-0.60633,-0.65253,Used in Last Day,1,6
447,682,35-44,M,5,UK,White,-1.32828,0.00332,-1.27553,-0.60633,0.12331,Used in Last Day,1,6
448,695,35-44,M,6,UK,White,-0.92104,-0.57545,-0.45174,-0.60633,-0.27607,Used in Last Week,1,5
449,705,35-44,M,5,USA,White,-0.79151,-0.30033,-0.58331,-0.60633,0.25953,Used in Last Day,1,6
450,711,18-24,M,7,UK,White,0.91093,0.16767,0.58331,-0.60633,-1.25773,Used in Last Week,1,5
451,717,18-24,M,5,UK,White,-0.05188,-1.50796,-1.27553,-0.60633,-1.78169,Used in Last Year,1,3
452,723,55-64,M,6,UK,White,-0.05188,-0.30033,-0.01928,-0.60633,-0.40581,Used over a Decade Ago,1,Used over a Decade Ago
454,773,45-54,M,7,UK,White,1.23461,-1.37639,-0.45174,-0.60633,-1.78169,Used in Last Day,1,6
455,778,18-24,M,5,USA,Mixed-White/Asian,0.52135,0.63779,0.7233,-0.60633,-0.52745,Used in Last Day,1,6
456,789,18-24,M,6,UK,White,-1.69163,1.2861,-0.58331,-0.60633,-1.13788,Used in Last Week,1,5
457,791,18-24,M,7,Australia,White,-0.14882,-0.43999,0.88309,-0.60633,-0.78155,Used in Last Week,1,5
458,794,25-34,M,5,UK,White,0.04257,2.127,-0.31776,-0.60633,-0.00665,Used in Last Week,1,5
459,796,18-24,M,5,USA,White,1.13281,-0.57545,-0.31776,-0.60633,1.13407,Used in Last Year,1,3
460,864,18-24,M,7,UK,White,0.04257,-0.15487,-0.17779,-0.60633,-0.40581,Used in Last Day,1,6
462,883,35-44,M,5,USA,White,1.60383,-1.09207,0.29338,-0.60633,-0.78155,Used in Last Month,1,4
463,903,18-24,M,5,UK,Black,0.04257,-0.94779,0.44585,-0.60633,-0.89891,Used in Last Week,1,5
468,998,25-34,M,8,UK,White,1.13281,-0.30033,0.88309,-0.60633,0.93949,Used in Last Day,1,6
469,1034,18-24,M,5,USA,White,0.22393,-0.69509,0.14143,-0.60633,-0.27607,Used in Last Day,1,6
471,1056,25-34,M,2,UK,White,-0.79151,1.2861,1.65653,-0.60633,0.58489,Used in Last Day,1,6
472,1072,18-24,M,8,UK,White,0.41667,0.00332,0.29338,-0.60633,0.12331,Used in Last Week,1,5
474,1150,18-24,M,5,USA,White,0.13606,0.16767,0.14143,-0.60633,-0.65253,Used in Last Week,1,5
476,1166,25-34,M,5,USA,White,0.82562,-1.09207,0.44585,-0.60633,1.13407,Used in Last Week,1,5
477,1182,18-24,M,5,USA,White,-0.14882,-1.6334,0.29338,-0.60633,-0.27607,Used in Last Decade,1,2
478,1191,18-24,M,5,Canada,White,-1.1943,1.45421,0.44585,-0.60633,-0.00665,Used in Last Month,1,4
479,1212,18-24,M,5,Canada,White,-1.43907,1.11406,0.58331,-0.60633,-0.78155,Used in Last Week,1,5
481,1277,18-24,M,5,USA,White,-0.46725,1.11406,0.58331,-0.60633,-1.13788,Used in Last Week,1,5
482,1304,35-44,M,7,Australia,White,-0.05188,-0.57545,-0.97631,-0.60633,0.41594,Used in Last Week,1,5
483,1307,25-34,M,5,USA,White,-0.34799,0.63779,1.88511,-0.60633,0.25953,Used in Last Month,1,4
484,1339,35-44,M,6,Canada,White,0.13606,0.47617,0.29338,-0.60633,0.7583,Used in Last Day,1,6
485,1341,18-24,M,4,USA,Other,-0.58016,3.27393,2.15324,-0.60633,0.93949,Used in Last Week,1,5
486,1385,18-24,M,5,USA,White,-1.55078,1.2861,1.43533,-0.60633,1.46191,Used in Last Week,1,5
490,1392,18-24,M,5,USA,Mixed-White/Asian,-0.46725,2.127,1.88511,-0.60633,-1.25773,Used in Last Week,1,5
492,1422,25-34,M,5,USA,White,-0.14882,0.47617,0.7233,-0.60633,0.25953,Used in Last Day,1,6
493,1431,18-24,M,5,USA,White,-0.24649,1.45421,1.43533,-0.60633,-0.14277,Used in Last Day,1,6
495,1497,18-24,M,5,UK,White,-0.79151,-0.94779,-0.01928,-0.60633,-0.40581,Used in Last Month,1,4
496,1501,25-34,M,9,USA,Other,-0.34799,0.47617,-0.01928,-0.60633,-0.00665,Used in Last Week,1,5
497,1513,18-24,M,1,USA,White,2.28554,-0.69509,0.29338,-0.60633,-0.14277,Used in Last Day,1,6
498,1514,18-24,M,5,USA,Mixed-White/Asian,-0.14882,-0.57545,-0.84732,-0.60633,-0.52745,Used in Last Year,1,3
499,1534,18-24,M,5,USA,Other,-0.92104,1.2861,-0.45174,-0.60633,-0.00665,Used in Last Week,1,5
501,1547,18-24,M,4,USA,Other,-0.24649,-1.92173,0.29338,-0.60633,-1.13788,Used in Last Year,1,3
505,1589,35-44,M,2,UK,White,-1.32828,2.127,-0.58331,-0.60633,0.12331,Used in Last Day,1,6
506,1620,45-54,M,6,UK,White,0.13606,0.00332,-0.45174,-0.60633,0.7583,Used in Last Week,1,5
508,1667,18-24,M,5,UK,White,0.04257,0.96248,1.65653,-0.60633,0.12331,Used in Last Month,1,4
509,1707,18-24,M,7,UK,White,-0.92104,0.32197,-1.42424,-0.60633,1.81175,Used in Last Month,1,4
510,1743,35-44,M,7,UK,White,-1.55078,0.80523,1.06238,-0.60633,-0.52745,Used in Last Week,1,5
511,1751,45-54,M,2,UK,White,-0.24649,0.47617,-0.84732,-0.60633,0.41594,Used in Last Week,1,5
512,1793,18-24,M,7,USA,White,0.62967,-1.50796,1.88511,-0.60633,3.00537,Used in Last Day,1,6
513,1808,35-44,M,7,USA,Other,-0.14882,-0.94779,1.24033,-0.60633,-1.64101,Used in Last Week,1,5
515,1821,18-24,M,5,USA,White,1.60383,-2.03972,1.43533,-0.60633,-2.72827,Used in Last Decade,1,2
517,1877,18-24,M,3,USA,White,0.73545,-1.23177,0.58331,-0.60633,-0.40581,Used in Last Week,1,5
518,18,45-54,M,2,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,Used in Last Day,1,6
520,59,45-54,M,4,UK,White,0.22393,0.63779,-0.01928,-0.45321,-0.40581,Used in Last Week,1,5
521,65,45-54,M,9,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,Used in Last Day,1,6
522,127,45-54,M,7,UK,White,-1.1943,0.63779,-1.11902,-0.45321,-0.00665,Used in Last Week,1,5
523,147,55-64,M,6,UK,White,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,Used in Last Day,1,6
525,158,25-34,M,2,UK,White,-1.05308,1.11406,-1.82919,-0.45321,0.7583,Used in Last Day,1,6
526,166,45-54,M,8,UK,White,-0.24649,-0.30033,-0.31776,-0.45321,1.63088,Used in Last Day,1,6
529,210,25-34,M,8,UK,Asian,-1.43907,0.47617,1.06238,-0.45321,1.13407,Never Used,1,1
532,251,45-54,M,7,UK,White,-0.46725,0.16767,-0.31776,-0.45321,1.46191,Used in Last Week,1,5
533,268,35-44,M,6,UK,Black,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,Used in Last Day,1,6
535,332,35-44,M,1,UK,White,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,Used in Last Day,1,6
536,353,35-44,M,6,UK,White,0.41667,0.16767,-0.01928,-0.45321,-0.52745,Used in Last Week,1,5
537,367,45-54,M,6,UK,Asian,-0.14882,0.00332,-0.58331,-0.45321,-1.25773,Used in Last Week,1,5
540,516,35-44,M,2,UK,White,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,Used in Last Day,1,6
544,577,35-44,M,2,UK,White,-1.86962,0.80523,-1.55521,-0.45321,1.13407,Used in Last Week,1,5
545,628,35-44,M,7,UK,White,-0.05188,-0.43999,-0.84732,-0.45321,0.41594,Used in Last Day,1,6
546,658,45-54,M,6,UK,White,1.13281,-1.37639,1.43533,-0.45321,-1.38502,Used in Last Week,1,5
547,686,25-34,M,7,Australia,White,-0.34799,0.16767,0.7233,-0.45321,-0.78155,Used in Last Day,1,6
549,720,55-64,M,7,UK,White,-0.34799,-0.94779,-0.71727,-0.45321,-0.40581,Used in Last Week,1,5
550,761,25-34,M,7,Canada,White,0.04257,-0.94779,-0.84732,-0.45321,-0.65253,Used in Last Day,1,6
551,762,18-24,M,5,USA,White,1.72012,0.32197,-1.11902,-0.45321,-2.42317,Used in Last Day,1,6
552,779,18-24,M,5,Canada,White,1.98437,0.00332,2.15324,-0.45321,-0.65253,Used in Last Month,1,4
553,807,25-34,M,5,USA,White,-0.24649,0.16767,-0.31776,-0.45321,-0.89891,Used in Last Decade,1,2
554,823,18-24,M,5,UK,White,-0.05188,1.11406,0.7233,-0.45321,0.41594,Used in Last Day,1,6
555,843,18-24,M,5,USA,White,-0.58016,-0.15487,0.88309,-0.45321,-1.25773,Used in Last Month,1,4
556,872,25-34,M,7,USA,White,0.91093,-0.80615,1.06238,-0.45321,1.13407,Used in Last Day,1,6
558,900,25-34,M,7,USA,White,1.8399,-0.30033,-0.45174,-0.45321,-1.0145,Used in Last Day,1,6
559,918,18-24,M,4,USA,Mixed-White/Black,0.22393,0.00332,-0.01928,-0.45321,0.93949,Used in Last Day,1,6
561,987,18-24,M,6,USA,White,0.73545,-0.80615,-0.71727,-0.45321,0.25953,Used in Last Week,1,5
562,1005,18-24,M,4,Canada,White,1.8399,-2.21069,-1.11902,-0.45321,-3.46436,Used in Last Week,1,5
565,1059,18-24,M,7,USA,White,0.73545,-1.09207,-1.27553,-0.45321,-0.40581,Used in Last Week,1,5
566,1076,35-44,M,4,UK,White,0.31287,-0.69509,-0.45174,-0.45321,-0.14277,Used in Last Day,1,6
567,1080,45-54,M,6,UK,White,-1.55078,0.96248,-0.31776,-0.45321,0.25953,Used in Last Month,1,4
570,1197,18-24,M,5,USA,White,0.91093,-0.43999,-0.01928,-0.45321,-1.64101,Used in Last Week,1,5
571,1215,18-24,M,5,Australia,White,-0.24649,0.16767,0.58331,-0.45321,-0.00665,Used in Last Week,1,5
572,1224,18-24,M,5,USA,White,-0.24649,0.63779,0.29338,-0.45321,-0.00665,Used in Last Week,1,5
574,1238,18-24,M,7,USA,White,0.04257,0.80523,0.88309,-0.45321,1.30612,Used in Last Month,1,4
575,1248,55-64,M,7,UK,White,0.13606,-0.57545,-0.84732,-0.45321,-1.25773,Used in Last Day,1,6
581,1340,18-24,M,6,USA,White,1.72012,-1.92173,-0.31776,-0.45321,-2.72827,Used in Last Week,1,5
582,1348,18-24,M,7,USA,White,0.73545,-1.7625,0.88309,-0.45321,-2.04506,Used in Last Week,1,5
583,1359,18-24,M,5,USA,White,-1.43907,-0.43999,0.88309,-0.45321,-1.38502,Used in Last Month,1,4
585,1393,45-54,M,6,UK,White,-0.34799,0.16767,-0.71727,-0.45321,0.12331,Never Used,1,1
587,1425,25-34,M,5,UK,White,0.62967,-0.57545,-0.31776,-0.45321,-1.13788,Used in Last Week,1,5
589,1477,25-34,M,6,Canada,White,-0.34799,-0.43999,-0.17779,-0.45321,0.12331,Used in Last Week,1,5
591,1493,18-24,M,5,USA,White,1.49158,-0.57545,-0.71727,-0.45321,-1.5184,Used in Last Day,1,6
593,1511,25-34,M,5,USA,White,0.91093,-2.11437,-0.17779,-0.45321,-0.89891,Never Used,1,1
594,1527,18-24,M,4,USA,White,0.52135,1.2861,1.24033,-0.45321,-0.52745,Used in Last Week,1,5
598,1653,18-24,M,7,USA,White,0.22393,-1.23177,0.29338,-0.45321,-1.13788,Used in Last Week,1,5
599,1658,25-34,M,5,Canada,White,-1.69163,0.16767,-0.31776,-0.45321,0.93949,Used in Last Year,1,3
600,1729,45-54,M,8,UK,White,-0.79151,-0.94779,-0.45174,-0.45321,-0.40581,Used in Last Day,1,6
603,1835,25-34,M,5,USA,White,-0.67825,0.63779,-0.45174,-0.45321,0.25953,Used in Last Day,1,6
604,1836,45-54,M,7,USA,White,0.62967,-0.80615,-0.01928,-0.45321,-1.5184,Used in Last Year,1,3
605,1853,25-34,M,6,USA,Other,0.41667,0.96248,-0.17779,-0.45321,0.7583,Used in Last Day,1,6
608,7,45-54,M,8,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,Used in Last Day,1,6
609,8,35-44,M,2,UK,White,-1.32828,1.93886,-0.84732,-0.30172,1.63088,Used in Last Week,1,5
610,36,65+,M,1,UK,White,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,Used in Last Year,1,3
612,85,45-54,M,2,UK,White,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,Used in Last Week,1,5
613,88,55-64,M,2,UK,White,-0.92104,0.16767,-0.45174,-0.30172,0.25953,Used in Last Week,1,5
615,111,45-54,M,8,UK,Asian,-0.14882,0.32197,0.14143,-0.30172,-0.14277,Used in Last Week,1,5
616,123,55-64,M,8,UK,White,0.22393,0.16767,-0.17779,-0.30172,-0.89891,Used in Last Day,1,6
621,277,55-64,M,9,UK,White,-0.92104,0.47617,-0.58331,-0.30172,-0.52745,Used in Last Day,1,6
622,284,45-54,M,7,UK,White,-0.92104,1.58487,0.14143,-0.30172,0.7583,Used in Last Day,1,6
623,286,35-44,M,7,UK,White,-0.92104,1.2861,-0.71727,-0.30172,0.25953,Used in Last Week,1,5
624,289,25-34,M,5,UK,White,0.62967,0.32197,-0.71727,-0.30172,-0.00665,Used in Last Day,1,6
627,409,35-44,M,3,UK,Other,1.37297,-0.15487,-0.31776,-0.30172,-0.65253,Used in Last Day,1,6
628,421,25-34,M,7,UK,White,0.62967,0.16767,-0.17779,-0.30172,0.12331,Used in Last Day,1,6
629,423,25-34,M,5,UK,White,0.31287,-1.7625,-1.42424,-0.30172,-0.40581,Used in Last Week,1,5
630,427,35-44,M,7,UK,White,-0.34799,-0.30033,0.14143,-0.30172,-1.64101,Used in Last Day,1,6
631,450,18-24,M,7,UK,White,-0.34799,0.63779,0.44585,-0.30172,0.7583,Used in Last Week,1,5
632,469,35-44,M,7,UK,White,-0.05188,0.16767,-0.71727,-0.30172,0.12331,Used in Last Day,1,6
634,512,35-44,M,7,UK,White,0.04257,0.96248,-0.58331,-0.30172,-0.40581,Used in Last Week,1,5
636,570,35-44,M,8,UK,White,1.02119,-0.80615,-0.17779,-0.30172,-0.00665,Used over a Decade Ago,1,Used over a Decade Ago
637,583,18-24,M,5,UK,White,-0.92104,1.58487,0.44585,-0.30172,-0.65253,Used in Last Day,1,6
639,614,35-44,M,7,UK,White,-1.1943,0.16767,-0.17779,-0.30172,-0.40581,Used over a Decade Ago,1,Used over a Decade Ago
641,659,18-24,M,8,UK,White,0.62967,0.16767,0.44585,-0.30172,-0.52745,Used in Last Week,1,5
642,668,35-44,M,5,UK,White,0.91093,-0.69509,1.24033,-0.30172,0.25953,Used in Last Month,1,4
643,670,25-34,M,5,UK,White,-0.58016,0.96248,0.44585,-0.30172,-0.14277,Used in Last Day,1,6
647,729,18-24,M,5,Canada,White,-1.43907,0.16767,0.7233,-0.30172,-1.5184,Used in Last Month,1,4
648,734,35-44,M,2,UK,Mixed-White/Asian,0.62967,0.16767,0.29338,-0.30172,-0.27607,Used in Last Week,1,5
651,777,25-34,M,5,USA,White,0.13606,-0.43999,-0.84732,-0.30172,-0.00665,Used in Last Year,1,3
655,838,18-24,M,7,Australia,White,-1.69163,0.16767,-0.01928,-0.30172,-1.5184,Used in Last Month,1,4
656,871,45-54,M,6,UK,White,1.60383,-0.69509,0.88309,-0.30172,-1.78169,Used in Last Year,1,3
657,888,18-24,M,7,UK,White,0.41667,-0.43999,0.14143,-0.30172,-0.00665,Used in Last Month,1,4
658,921,18-24,M,4,Canada,White,0.22393,1.45421,2.15324,-0.30172,-1.0145,Used in Last Day,1,6
659,948,25-34,M,6,UK,White,2.127,-1.37639,0.14143,-0.30172,-1.64101,Used in Last Day,1,6
661,953,18-24,M,5,USA,White,0.41667,0.16767,0.29338,-0.30172,-0.27607,Used in Last Week,1,5
665,1053,18-24,M,5,USA,White,-0.67825,-0.43999,-0.97631,-0.30172,-0.27607,Used in Last Week,1,5
667,1068,35-44,M,7,Canada,White,-0.58016,-0.69509,-2.39883,-0.30172,-0.27607,Used in Last Year,1,3
671,1145,45-54,M,7,UK,White,0.22393,-1.09207,-0.71727,-0.30172,-0.65253,Used over a Decade Ago,1,Used over a Decade Ago
673,1168,25-34,M,7,USA,White,0.52135,-0.94779,1.06238,-0.30172,0.58489,Used in Last Week,1,5
674,1175,18-24,M,5,USA,Other,0.04257,-0.80615,0.88309,-0.30172,1.13407,Used in Last Month,1,4
675,1185,18-24,M,7,USA,White,-0.46725,1.11406,0.88309,-0.30172,1.81175,Used in Last Week,1,5
676,1236,55-64,M,8,USA,White,0.13606,0.63779,0.58331,-0.30172,0.58489,Used in Last Week,1,5
679,1292,25-34,M,6,UK,White,-0.24649,0.80523,0.29338,-0.30172,0.12331,Used in Last Week,1,5
680,1321,18-24,M,5,USA,White,0.82562,0.96248,-0.17779,-0.30172,-0.27607,Used in Last Week,1,5
681,1327,18-24,M,6,Canada,White,-0.92104,0.32197,1.43533,-0.30172,-0.40581,Used in Last Month,1,4
682,1342,35-44,M,4,USA,Black,0.73545,-1.37639,-0.97631,-0.30172,-0.52745,Used in Last Day,1,6
683,1373,18-24,M,5,USA,White,1.23461,0.16767,0.58331,-0.30172,-1.25773,Used in Last Month,1,4
685,1478,18-24,M,5,USA,White,0.41667,-0.69509,-0.01928,-0.30172,-1.25773,Used in Last Day,1,6
686,1495,18-24,M,5,USA,White,2.127,-0.94779,-0.45174,-0.30172,-1.64101,Used in Last Week,1,5
687,1504,25-34,M,7,USA,White,-0.46725,0.47617,1.43533,-0.30172,-0.40581,Used in Last Day,1,6
688,1515,25-34,M,4,USA,White,1.23461,-2.32338,0.29338,-0.30172,-1.92173,Used in Last Year,1,3
691,1619,25-34,M,5,USA,White,0.31287,-0.30033,1.06238,-0.30172,-0.89891,Used in Last Week,1,5
692,1621,25-34,M,7,UK,Black,1.37297,-0.30033,-0.97631,-0.30172,-0.27607,Used in Last Day,1,6
696,1675,45-54,M,6,UK,White,-0.46725,0.16767,-1.42424,-0.30172,2.33337,Used in Last Week,1,5
697,1676,35-44,M,6,UK,White,-0.79151,1.11406,-2.09015,-0.30172,-0.52745,Used in Last Week,1,5
698,1695,45-54,M,8,UK,White,-0.92104,-0.30033,-0.01928,-0.30172,-0.40581,Used in Last Day,1,6
700,1758,35-44,M,6,UK,White,1.02119,-0.43999,-2.39883,-0.30172,0.7583,Used in Last Day,1,6
705,1825,25-34,M,7,UK,Asian,-0.46725,-1.50796,-0.58331,-0.30172,-0.40581,Used in Last Day,1,6
707,1852,18-24,M,3,Australia,White,0.31287,0.63779,-0.31776,-0.30172,-1.25773,Used in Last Week,1,5
709,1857,18-24,M,5,USA,White,-1.55078,0.16767,2.15324,-0.30172,-0.00665,Used in Last Year,1,3
710,1858,18-24,M,3,Australia,White,-0.14882,0.00332,0.58331,-0.30172,-1.5184,Used in Last Week,1,5
711,1873,18-24,M,5,USA,White,-0.14882,1.11406,1.43533,-0.30172,-0.00665,Used in Last Year,1,3
712,44,35-44,M,6,UK,White,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,Used in Last Day,1,6
713,49,45-54,M,2,UK,White,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,Used in Last Day,1,6
718,134,35-44,M,8,UK,White,-0.05188,0.16767,0.29338,-0.15487,0.12331,Used in Last Week,1,5
726,350,45-54,M,6,UK,Black,-0.58016,0.32197,-0.45174,-0.15487,0.25953,Used in Last Day,1,6
728,390,35-44,M,6,UK,White,0.13606,-0.30033,0.14143,-0.15487,-0.27607,Used in Last Year,1,3
729,406,45-54,M,3,UK,White,0.91093,-0.15487,-0.17779,-0.15487,0.25953,Used in Last Year,1,3
731,428,45-54,M,2,UK,White,0.22393,0.00332,-0.31776,-0.15487,-0.00665,Used in Last Week,1,5
744,667,18-24,M,4,UK,White,-2.05048,-0.30033,0.14143,-0.15487,-0.89891,Used in Last Year,1,3
745,677,18-24,M,6,UK,White,0.22393,0.00332,-1.68062,-0.15487,0.25953,Used in Last Year,1,3
747,708,25-34,M,7,UK,White,-0.05188,1.93886,0.29338,-0.15487,-0.52745,Used in Last Week,1,5
748,721,35-44,M,5,UK,White,1.23461,0.80523,0.88309,-0.15487,1.13407,Used in Last Day,1,6
749,732,18-24,M,5,UK,White,-0.79151,1.2861,-0.31776,-0.15487,-0.52745,Used in Last Month,1,4
751,759,18-24,M,5,USA,White,0.41667,0.63779,-0.01928,-0.15487,-0.27607,Used in Last Year,1,3
753,837,18-24,M,7,USA,White,0.52135,-0.94779,-0.45174,-0.15487,-0.14277,Used in Last Day,1,6
754,847,35-44,M,5,USA,White,0.91093,-1.6334,-1.42424,-0.15487,0.25953,Used in Last Day,1,6
756,861,18-24,M,5,USA,White,-1.05308,2.32338,1.06238,-0.15487,0.93949,Used in Last Week,1,5
757,881,25-34,M,8,USA,White,1.23461,0.00332,-0.31776,-0.15487,-0.14277,Used in Last Day,1,6
758,919,25-34,M,2,USA,White,0.41667,-0.15487,-0.17779,-0.15487,-0.52745,Used in Last Month,1,4
761,1001,18-24,M,2,New Zealand,White,1.23461,-1.09207,-0.31776,-0.15487,-0.65253,Used in Last Week,1,5
766,1110,18-24,M,7,UK,White,1.13281,1.11406,1.06238,-0.15487,-0.52745,Used in Last Week,1,5
767,1118,18-24,M,5,USA,Other,0.91093,0.00332,1.24033,-0.15487,-1.38502,Used in Last Week,1,5
768,1127,25-34,M,6,USA,White,1.37297,-1.37639,-0.45174,-0.15487,-2.30408,Used in Last Month,1,4
769,1143,35-44,M,6,USA,White,0.41667,-1.23177,0.14143,-0.15487,0.58489,Used in Last Month,1,4
771,1225,25-34,M,9,USA,White,-0.46725,-2.32338,-2.21069,-0.15487,-0.14277,Used in Last Week,1,5
774,1290,18-24,M,8,UK,White,-0.46725,0.32197,0.88309,-0.15487,0.7583,Used in Last Week,1,5
775,1298,18-24,M,5,USA,Other,-0.34799,0.00332,0.58331,-0.15487,-0.52745,Used in Last Month,1,4
776,1320,35-44,M,7,USA,White,-0.67825,-0.30033,-0.31776,-0.15487,1.30612,Used in Last Day,1,6
777,1347,45-54,M,5,USA,White,0.82562,-0.15487,0.44585,-0.15487,0.12331,Used in Last Day,1,6
779,1355,18-24,M,5,USA,White,1.02119,-0.94779,1.43533,-0.15487,-1.25773,Used in Last Week,1,5
780,1375,45-54,M,7,UK,Other,-0.58016,-0.57545,-0.01928,-0.15487,-0.14277,Used in Last Day,1,6
781,1380,18-24,M,5,USA,White,-0.58016,0.47617,1.65653,-0.15487,0.25953,Used in Last Week,1,5
782,1427,35-44,M,6,UK,Black,0.31287,0.32197,-0.17779,-0.15487,-0.00665,Used in Last Week,1,5
784,1503,18-24,M,7,USA,White,0.41667,-1.92173,0.88309,-0.15487,-0.52745,Used in Last Day,1,6
785,1533,18-24,M,5,USA,White,1.02119,-1.7625,0.58331,-0.15487,-2.57309,Used in Last Week,1,5
786,1564,35-44,M,6,UK,White,0.73545,-1.50796,-0.84732,-0.15487,-1.13788,Used in Last Month,1,4
794,1696,35-44,M,6,UK,White,-0.46725,0.63779,-0.17779,-0.15487,-0.65253,Used in Last Day,1,6
797,1732,45-54,M,8,UK,White,-0.34799,-0.30033,0.29338,-0.15487,0.12331,Used in Last Week,1,5
799,1785,18-24,M,5,USA,Black,1.02119,-1.09207,-0.45174,-0.15487,-1.25773,Used in Last Week,1,5
801,1861,18-24,M,5,USA,White,1.72012,0.32197,1.65653,-0.15487,-1.78169,Used in Last Day,1,6
802,1862,18-24,M,4,USA,White,-0.24649,0.32197,0.44585,-0.15487,-0.14277,Used in Last Month,1,4
804,28,35-44,M,7,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,Used in Last Day,1,6
