no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol
281,55-64,M,8,UK,White,-0.05188,0.16767,0.7233,-0.01729,-0.89891,Used in Last Day
282,45-54,F,5,UK,White,0.04257,-0.30033,-2.21069,-0.15487,-0.14277,Used in Last Week
283,45-54,F,8,UK,White,-0.05188,0.00332,0.14143,0.94156,0.93949,Used in Last Week
284,45-54,M,7,UK,White,-0.92104,1.58487,0.14143,-0.30172,0.7583,Used in Last Day
286,35-44,M,7,UK,White,-0.92104,1.2861,-0.71727,-0.30172,0.25953,Used in Last Week
287,45-54,F,7,UK,White,0.22393,-1.37639,-0.17779,-1.34289,-0.14277,Used in Last Week
288,45-54,M,8,UK,White,0.31287,0.32197,-0.45174,0.43852,-0.89891,Used in Last Year
289,25-34,M,5,UK,White,0.62967,0.32197,-0.71727,-0.30172,-0.00665,Used in Last Day
290,25-34,F,8,UK,White,-2.05048,0.63779,-0.71727,1.61108,1.13407,Used in Last Month
291,35-44,F,6,UK,Black,-0.92104,0.96248,-0.84732,1.45039,0.93949,Never Used
292,35-44,F,5,UK,White,0.62967,-1.09207,0.44585,-0.76096,-0.40581,Used in Last Week
293,45-54,F,6,UK,White,-0.05188,-0.15487,-0.58331,-0.60633,0.41594,Used in Last Year
295,25-34,F,6,UK,White,1.13281,0.00332,-0.17779,-0.76096,-0.40581,Used in Last Year
296,18-24,F,3,UK,White,-0.34799,0.47617,-0.17779,-0.60633,-0.14277,Used in Last Week
297,35-44,M,6,UK,White,1.37297,-0.43999,0.14143,-0.01729,-0.00665,Used in Last Week
298,65+,F,2,UK,White,0.82562,-0.80615,0.14143,-0.15487,1.13407,Never Used
300,35-44,F,7,UK,White,0.13606,-0.30033,-1.42424,1.61108,0.41594,Used in Last Week
301,35-44,F,6,USA,White,0.82562,-0.94779,-0.17779,0.43852,0.58489,Used in Last Week
302,25-34,F,5,USA,White,-0.24649,-0.43999,-1.55521,0.13136,0.58489,Used in Last Year
303,35-44,F,9,UK,White,0.52135,-0.43999,-0.71727,0.59042,0.93949,Used in Last Day
304,55-64,F,6,UK,White,-0.14882,0.63779,-0.01928,-0.76096,-0.40581,Used in Last Day
305,45-54,F,7,UK,White,-0.34799,0.00332,-1.27553,-0.15487,0.93949,Used in Last Day
306,45-54,F,7,UK,White,-1.05308,-2.32338,-1.27553,1.61108,0.12331,Used in Last Month
307,35-44,M,8,UK,White,0.22393,-1.23177,-0.84732,-1.07533,0.7583,Used in Last Week
308,45-54,M,8,UK,White,-0.46725,-0.57545,-0.71727,1.11406,0.7583,Used in Last Week
309,35-44,F,4,UK,White,-1.69163,0.80523,-0.17779,-0.01729,1.63088,Used in Last Week
310,35-44,M,8,UK,White,-0.79151,0.16767,-0.17779,0.59042,0.41594,Used in Last Day
311,45-54,F,7,UK,White,-1.32828,-0.15487,-0.84732,0.13136,0.58489,Used in Last Year
312,18-24,F,2,UK,White,1.13281,-0.57545,-1.97495,-0.30172,-0.14277,Used in Last Year
313,45-54,F,8,UK,White,-0.34799,0.00332,-0.45174,0.28783,0.12331,Used in Last Day
314,25-34,F,8,UK,White,0.04257,1.74091,0.29338,0.59042,1.30612,Used in Last Week
315,18-24,F,4,Republic of Ireland,White,-0.58016,0.16767,-0.71727,0.13136,-0.14277,Used in Last Week
316,45-54,F,9,UK,White,-0.79151,0.80523,0.58331,-0.01729,0.41594,Used in Last Week
317,55-64,F,7,UK,White,-0.46725,0.80523,1.06238,-0.45321,-0.78155,Used in Last Week
318,35-44,M,7,UK,Black,-0.79151,1.93886,-0.97631,-0.01729,1.13407,Used in Last Week
319,25-34,F,6,UK,White,0.04257,0.00332,-0.71727,0.28783,0.93949,Used in Last Decade
320,45-54,F,2,UK,Other,0.31287,-0.30033,-1.27553,-0.15487,0.58489,Used in Last Month
321,45-54,F,7,UK,White,0.73545,-0.30033,-0.58331,-1.07533,-0.14277,Used in Last Week
322,35-44,F,5,UK,White,0.52135,-0.30033,-0.97631,1.81866,1.63088,Used in Last Week
323,18-24,F,7,UK,White,-0.79151,0.47617,0.44585,0.94156,0.12331,Used in Last Week
324,45-54,M,3,UK,White,0.91093,-1.09207,-1.68062,0.28783,-0.78155,Used in Last Day
325,25-34,F,9,UK,White,0.22393,0.00332,1.43533,-0.91699,0.93949,Used in Last Week
326,35-44,F,6,UK,White,-0.79151,1.2861,-0.17779,0.94156,2.33337,Used in Last Week
327,35-44,M,4,UK,White,-0.58016,-1.6334,-1.97495,0.94156,0.41594,Used in Last Day
328,45-54,M,8,UK,White,-1.86962,1.58487,-0.01928,1.61108,1.30612,Used in Last Day
329,25-34,F,6,UK,White,0.22393,-0.30033,-1.27553,1.11406,-0.52745,Used in Last Week
330,45-54,M,6,UK,White,-0.34799,0.47617,-0.97631,0.43852,-0.14277,Used in Last Month
331,45-54,F,6,UK,White,-1.05308,0.47617,-0.71727,0.76096,0.7583,Used over a Decade Ago
332,35-44,M,1,UK,White,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,Used in Last Day
333,55-64,F,4,Canada,White,-0.46725,-0.43999,-1.55521,0.94156,0.7583,Never Used
334,18-24,F,5,UK,White,2.82196,-1.92173,-0.84732,0.43852,-1.78169,Used in Last Day
335,65+,M,5,Canada,White,-1.32828,-0.43999,-0.97631,0.13136,0.12331,Used in Last Month
336,65+,F,2,Canada,White,-0.14882,-0.15487,-1.42424,-1.34289,-0.00665,Used in Last Month
337,25-34,F,8,UK,White,0.41667,-0.57545,0.58331,0.43852,-1.0145,Used in Last Day
338,45-54,F,8,UK,Black,0.62967,0.16767,-0.17779,-0.01729,1.30612,Used in Last Week
339,45-54,F,6,Canada,White,-0.58016,0.32197,1.06238,-1.772,0.41594,Used in Last Week
340,35-44,M,9,UK,White,-1.86962,1.2861,0.29338,0.76096,1.46191,Used in Last Day
341,45-54,F,6,UK,White,-0.14882,-0.30033,-0.58331,0.94156,0.7583,Used in Last Week
342,35-44,F,8,UK,White,-0.46725,1.11406,0.88309,0.28783,0.41594,Used in Last Week
343,55-64,F,6,UK,White,-1.69163,0.96248,-0.31776,0.94156,1.81175,Used in Last Week
344,55-64,F,6,UK,White,0.62967,0.00332,-0.01928,-0.15487,0.58489,Used over a Decade Ago
345,18-24,F,1,UK,White,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,Used in Last Week
346,35-44,F,8,UK,White,-1.86962,0.16767,1.43533,1.81866,1.13407,Used over a Decade Ago
347,35-44,F,7,UK,White,0.04257,0.47617,-0.17779,0.94156,0.25953,Used in Last Decade
348,45-54,F,7,UK,White,-0.14882,1.74091,1.65653,2.46262,0.25953,Used in Last Day
349,45-54,M,8,UK,White,-0.92104,0.80523,-0.01928,-0.01729,0.41594,Used in Last Decade
350,45-54,M,6,UK,Black,-0.58016,0.32197,-0.45174,-0.15487,0.25953,Used in Last Day
351,45-54,M,7,UK,White,0.52135,-0.69509,-0.58331,0.13136,-0.14277,Used in Last Week
352,35-44,F,5,UK,White,1.02119,-0.57545,0.88309,1.2861,-0.65253,Used in Last Month
353,35-44,M,6,UK,White,0.41667,0.16767,-0.01928,-0.45321,-0.52745,Used in Last Week
354,45-54,M,7,UK,White,-0.14882,-0.69509,0.44585,0.76096,-1.38502,Used over a Decade Ago
355,25-34,M,2,UK,White,-0.46725,0.00332,-0.17779,-0.60633,0.41594,Used in Last Decade
356,35-44,M,6,UK,White,0.22393,-0.15487,-0.01928,0.28783,-0.27607,Used in Last Decade
357,25-34,M,1,UK,White,0.62967,0.00332,1.24033,1.81866,0.93949,Used in Last Day
358,45-54,M,7,UK,White,-1.1943,-0.15487,-1.27553,1.45039,0.41594,Used in Last Day
359,35-44,M,2,UK,White,2.46262,-1.23177,-0.97631,-1.772,-1.64101,Used in Last Year
360,35-44,M,5,UK,White,0.41667,-0.80615,0.88309,0.13136,-0.40581,Used in Last Decade
361,25-34,F,5,UK,White,-0.58016,1.58487,0.58331,0.13136,0.41594,Used in Last Week
362,45-54,F,7,UK,White,0.52135,0.80523,-0.01928,0.13136,-0.14277,Used in Last Decade
363,35-44,F,6,UK,White,0.62967,0.63779,1.06238,0.94156,1.30612,Used in Last Week
364,45-54,M,7,UK,White,0.41667,0.32197,-0.17779,0.59042,0.41594,Used in Last Decade
365,45-54,F,6,UK,White,1.23461,-0.15487,-1.27553,0.76096,0.41594,Used in Last Week
366,35-44,F,9,UK,White,0.41667,-0.15487,0.14143,-0.01729,-0.52745,Used in Last Week
367,45-54,M,6,UK,Asian,-0.14882,0.00332,-0.58331,-0.45321,-1.25773,Used in Last Week
368,35-44,F,7,UK,Asian,-1.05308,0.47617,-0.17779,-0.15487,0.58489,Never Used
369,45-54,F,7,UK,White,-1.1943,0.47617,0.29338,0.43852,0.25953,Used in Last Week
370,25-34,M,6,UK,White,-0.05188,-0.94779,-1.68062,0.13136,0.7583,Used in Last Day
371,25-34,F,7,UK,White,1.23461,0.32197,0.29338,0.76096,-0.65253,Used in Last Year
372,18-24,M,4,Canada,White,0.22393,0.32197,0.14143,-0.91699,-0.27607,Used in Last Week
373,35-44,F,7,UK,White,1.02119,2.32338,1.65653,-1.34289,0.41594,Used in Last Week
374,18-24,F,5,UK,White,0.91093,0.96248,-1.11902,0.59042,0.25953,Used in Last Week
375,45-54,M,7,UK,White,-0.34799,-1.7625,0.7233,-0.91699,0.12331,Used in Last Day
376,55-64,F,8,UK,White,-0.24649,1.2861,0.88309,1.61108,1.13407,Used in Last Day
377,65+,M,6,UK,White,0.13606,0.16767,0.29338,-1.34289,1.46191,Used in Last Day
378,45-54,F,8,UK,White,-0.92104,0.00332,-0.71727,0.13136,0.93949,Used in Last Week
379,25-34,F,7,UK,White,-0.46725,-0.57545,-1.68062,0.43852,-0.52745,Used in Last Week
381,45-54,F,6,UK,White,0.82562,-0.43999,0.7233,-0.01729,0.25953,Used in Last Day
382,35-44,M,7,UK,White,-0.46725,1.11406,-0.31776,-0.60633,0.12331,Used in Last Decade
385,45-54,F,7,UK,White,0.13606,-0.30033,-0.45174,1.11406,0.7583,Used in Last Week
386,45-54,F,7,UK,Black,-0.24649,0.16767,-0.97631,0.76096,0.58489,Used over a Decade Ago
387,25-34,M,6,UK,White,-0.58016,-0.43999,-2.39883,0.13136,-0.40581,Used in Last Week
388,45-54,M,4,UK,White,-2.05048,0.47617,-1.11902,1.61108,0.58489,Used in Last Month
389,25-34,M,7,UK,Black,-1.32828,0.32197,-0.58331,-1.34289,2.04506,Never Used
390,35-44,M,6,UK,White,0.13606,-0.30033,0.14143,-0.15487,-0.27607,Used in Last Year
391,25-34,M,9,UK,White,-0.58016,0.32197,-0.17779,0.13136,0.58489,Used in Last Week
392,35-44,F,5,UK,White,-0.67825,-0.43999,0.29338,0.13136,-0.00665,Used in Last Decade
393,25-34,F,7,UK,White,0.62967,0.00332,0.14143,0.28783,0.12331,Used in Last Week
394,35-44,F,3,UK,White,-0.46725,0.32197,-0.58331,-0.01729,1.13407,Used in Last Week
395,25-34,F,6,UK,White,-0.79151,-0.15487,-2.21069,-0.60633,1.46191,Used in Last Day
396,25-34,M,6,UK,White,-1.43907,0.63779,-0.17779,-0.76096,1.81175,Used in Last Day
397,35-44,M,7,UK,White,0.22393,1.2861,-0.45174,-1.47955,-0.78155,Used in Last Day
398,35-44,F,7,UK,White,-1.86962,0.63779,-0.97631,-0.30172,0.58489,Used in Last Day
399,45-54,M,6,UK,White,0.13606,0.47617,-0.84732,-1.47955,0.41594,Used in Last Day
400,25-34,F,8,UK,White,-0.79151,0.32197,0.29338,-1.34289,0.93949,Used in Last Day
401,45-54,M,8,UK,White,-0.92104,1.2861,1.43533,0.94156,0.58489,Used over a Decade Ago
402,25-34,F,4,UK,White,-0.14882,-0.15487,-1.97495,0.59042,0.7583,Used in Last Month
403,45-54,M,2,UK,White,0.13606,-1.09207,-0.45174,-1.6209,-0.65253,Used in Last Week
404,18-24,M,5,UK,White,-0.92104,-0.69509,-0.31776,-0.60633,-1.25773,Used in Last Week
405,18-24,M,7,UK,White,-1.43907,0.63779,-0.31776,-0.76096,-0.40581,Used in Last Week
406,45-54,M,3,UK,White,0.91093,-0.15487,-0.17779,-0.15487,0.25953,Used in Last Year
407,18-24,F,1,UK,White,0.13606,1.58487,1.88511,1.2861,-0.00665,Used in Last Week
408,45-54,F,7,UK,White,1.8399,-0.94779,1.65653,-0.01729,-0.40581,Used in Last Year
409,35-44,M,3,UK,Other,1.37297,-0.15487,-0.31776,-0.30172,-0.65253,Used in Last Day
410,25-34,M,7,UK,White,-0.67825,0.16767,0.58331,0.13136,-0.27607,Used in Last Year
411,35-44,F,6,USA,White,-1.55078,0.80523,0.7233,0.28783,0.58489,Used over a Decade Ago
412,45-54,M,4,UK,White,1.02119,-1.37639,0.44585,0.94156,-1.38502,Used in Last Week
414,25-34,F,7,UK,White,0.13606,1.11406,-0.97631,0.43852,-0.27607,Used in Last Day
415,35-44,M,5,UK,White,0.04257,-0.15487,0.7233,0.13136,-0.40581,Used in Last Week
416,35-44,F,5,UK,White,-1.86962,0.32197,-1.11902,-0.15487,-0.65253,Used in Last Day
417,18-24,M,4,UK,White,-0.58016,-1.09207,-0.58331,-2.07848,2.63199,Used in Last Day
418,18-24,M,5,UK,White,-0.05188,-0.69509,0.29338,-2.21844,-1.25773,Used in Last Week
419,25-34,M,5,UK,White,-0.79151,0.96248,0.14143,-1.07533,-0.65253,Used in Last Week
420,25-34,F,9,UK,White,0.31287,0.00332,1.06238,-0.45321,0.41594,Used in Last Day
421,25-34,M,7,UK,White,0.62967,0.16767,-0.17779,-0.30172,0.12331,Used in Last Day
422,18-24,M,4,UK,White,0.31287,0.80523,-0.01928,-0.91699,1.13407,Used in Last Month
423,25-34,M,5,UK,White,0.31287,-1.7625,-1.42424,-0.30172,-0.40581,Used in Last Week
424,35-44,M,6,UK,White,-0.79151,-0.15487,-0.01928,1.81866,-0.65253,Used in Last Month
425,35-44,F,7,UK,Mixed-White/Asian,-1.05308,0.80523,-0.71727,1.2861,0.93949,Used in Last Day
426,45-54,F,9,USA,White,0.52135,0.00332,1.65653,0.94156,-0.00665,Used in Last Year
427,35-44,M,7,UK,White,-0.34799,-0.30033,0.14143,-0.30172,-1.64101,Used in Last Day
428,45-54,M,2,UK,White,0.22393,0.00332,-0.31776,-0.15487,-0.00665,Used in Last Week
430,25-34,F,4,UK,White,-0.92104,-0.15487,-2.09015,0.28783,0.7583,Used in Last Week
431,25-34,M,1,UK,White,0.22393,-0.94779,-1.42424,-0.76096,-0.27607,Used in Last Week
432,25-34,F,4,UK,White,0.04257,0.32197,-0.97631,0.94156,-1.0145,Used in Last Week
433,25-34,M,7,UK,White,-0.24649,-0.30033,-1.68062,0.28783,0.12331,Used in Last Week
434,45-54,F,2,UK,White,0.22393,1.93886,-1.11902,1.2861,-0.14277,Used in Last Day
435,18-24,F,7,UK,White,-0.14882,0.96248,-1.55521,2.23427,1.63088,Used in Last Week
436,25-34,F,7,UK,White,0.04257,0.47617,-1.11902,0.59042,1.81175,Used in Last Month
437,55-64,M,5,USA,White,-0.67825,-0.30033,1.06238,1.81866,0.7583,Used over a Decade Ago
438,45-54,M,2,UK,White,-1.43907,0.47617,0.29338,-0.91699,0.41594,Used in Last Day
439,25-34,F,7,USA,White,2.82196,-0.43999,-0.84732,-1.772,-2.04506,Used in Last Week
440,18-24,F,5,USA,White,1.37297,-0.30033,0.29338,-0.15487,-1.78169,Used in Last Month
441,35-44,F,7,UK,White,-0.46725,0.47617,-0.58331,0.76096,1.81175,Used in Last Day
442,18-24,F,5,UK,White,-0.67825,1.45421,-2.09015,-0.01729,0.58489,Used in Last Year
443,25-34,F,8,UK,White,-0.92104,0.00332,0.29338,-0.15487,-0.00665,Used in Last Week
444,35-44,M,2,UK,White,0.41667,0.63779,-0.71727,-0.76096,-0.27607,Used in Last Week
445,45-54,F,6,UK,White,-0.46725,0.80523,0.58331,0.13136,0.7583,Used in Last Week
446,45-54,F,7,UK,White,1.02119,-0.94779,-0.58331,-0.91699,0.41594,Used in Last Week
447,25-34,F,7,UK,White,0.22393,-1.09207,0.44585,2.75696,-0.65253,Used in Last Day
448,25-34,M,8,UK,White,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,Used in Last Day
449,18-24,F,5,UK,White,1.13281,1.45421,1.06238,-1.772,-0.89891,Used in Last Week
450,18-24,M,7,UK,White,-0.34799,0.63779,0.44585,-0.30172,0.7583,Used in Last Week
451,18-24,F,7,UK,White,0.73545,-0.15487,-0.84732,0.59042,-1.0145,Used in Last Week
452,18-24,F,8,UK,White,-1.1943,0.80523,-0.84732,-0.15487,0.7583,Used in Last Week
453,35-44,F,7,UK,White,-0.14882,-0.15487,0.14143,0.13136,0.93949,Used in Last Week
454,25-34,M,7,UK,White,1.23461,-1.7625,-0.31776,0.13136,0.41594,Used in Last Week
455,45-54,M,9,UK,White,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,Used in Last Day
456,18-24,F,7,UK,White,0.82562,-0.80615,0.7233,-0.76096,-2.57309,Used in Last Day
457,35-44,M,7,UK,White,1.60383,-0.43999,0.29338,-2.21844,-0.65253,Used in Last Day
458,35-44,F,8,UK,White,-0.46725,-0.57545,0.14143,0.59042,0.7583,Used in Last Week
459,18-24,F,7,UK,White,0.62967,0.00332,0.14143,0.59042,0.12331,Used in Last Day
460,25-34,M,8,UK,White,0.91093,1.2861,1.88511,-2.5383,-0.40581,Used in Last Month
461,18-24,F,7,UK,White,1.23461,-1.37639,1.24033,-1.772,0.25953,Used in Last Day
462,18-24,M,5,UK,White,1.49158,-1.37639,-2.63199,1.81866,-1.25773,Used in Last Week
463,35-44,M,5,UK,White,0.82562,0.47617,1.43533,0.13136,-2.30408,Used in Last Year
464,45-54,M,4,UK,White,1.02119,-0.94779,-0.58331,1.45039,-1.25773,Used in Last Day
465,18-24,F,7,UK,White,0.31287,-0.80615,1.06238,0.76096,0.93949,Used in Last Week
466,18-24,F,8,UK,White,1.37297,-1.09207,-0.01928,-0.45321,-0.40581,Used in Last Week
467,18-24,F,7,UK,Asian,0.31287,0.63779,1.06238,1.11406,-0.27607,Never Used
468,45-54,M,7,UK,White,0.22393,0.00332,1.24033,-0.01729,1.46191,Used in Last Day
469,35-44,M,7,UK,White,-0.05188,0.16767,-0.71727,-0.30172,0.12331,Used in Last Day
470,25-34,M,7,UK,White,-1.1943,1.74091,1.43533,0.76096,-0.00665,Used in Last Week
471,45-54,F,2,USA,White,2.82196,-1.6334,-1.42424,1.61108,-2.04506,Used in Last Year
472,18-24,F,7,UK,White,0.13606,0.80523,0.29338,-0.15487,0.7583,Used in Last Month
473,18-24,M,8,UK,Mixed-White/Black,-0.92104,2.57309,1.06238,1.11406,2.33337,Used in Last Week
474,18-24,F,1,UK,White,0.31287,0.00332,-0.17779,1.2861,-0.00665,Used in Last Week
475,35-44,F,5,USA,White,1.37297,0.00332,-0.45174,-0.76096,-0.52745,Used in Last Decade
476,55-64,F,7,UK,Mixed-White/Asian,-0.24649,0.96248,0.14143,-0.15487,0.41594,Used in Last Day
477,45-54,F,7,USA,White,-1.1943,0.96248,-0.45174,0.76096,0.93949,Used in Last Year
478,35-44,M,7,UK,White,1.72012,-0.94779,0.58331,-1.772,-0.40581,Used in Last Day
479,35-44,F,6,UK,White,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,Used in Last Day
480,25-34,F,7,UK,White,0.41667,0.80523,-0.31776,0.94156,0.58489,Used in Last Day
481,25-34,F,8,Australia,White,0.41667,-0.43999,1.43533,1.45039,0.25953,Used in Last Day
482,18-24,M,5,USA,White,1.13281,-0.80615,-0.17779,-1.34289,-0.65253,Used in Last Year
483,35-44,F,7,Australia,White,1.02119,0.16767,0.29338,-0.15487,0.58489,Used in Last Day
484,35-44,M,5,UK,White,-0.67825,-0.15487,0.29338,0.13136,1.63088,Never Used
485,25-34,F,7,UK,White,1.23461,0.47617,1.43533,0.28783,0.93949,Used in Last Decade
486,35-44,F,2,UK,White,-0.58016,0.96248,-0.58331,0.76096,-0.27607,Used in Last Month
487,45-54,F,2,UK,White,-0.46725,0.32197,-1.55521,1.11406,-0.78155,Used in Last Day
489,35-44,F,4,USA,White,1.8399,-1.7625,1.24033,-1.07533,0.25953,Used in Last Month
490,25-34,M,2,UK,White,0.41667,-1.37639,0.14143,0.76096,-0.40581,Used in Last Day
491,18-24,M,1,UK,White,1.98437,-1.37639,0.29338,-1.92595,-1.64101,Used in Last Year
492,18-24,M,5,UK,White,-1.05308,1.11406,0.88309,-1.34289,-1.38502,Used in Last Week
493,45-54,F,6,UK,White,0.62967,0.80523,0.44585,-0.30172,-0.78155,Used in Last Week
494,18-24,M,4,UK,White,-0.92104,0.47617,0.44585,0.59042,-0.00665,Used in Last Day
495,18-24,M,6,UK,White,0.52135,-0.57545,0.88309,-0.01729,0.25953,Used in Last Week
496,18-24,M,5,UK,White,0.73545,-1.6334,0.88309,-1.21213,-1.64101,Used in Last Day
498,55-64,M,5,USA,White,-0.79151,0.16767,0.58331,0.59042,0.93949,Used in Last Year
499,25-34,M,8,UK,White,0.04257,1.2861,2.90161,-0.60633,-0.00665,Used in Last Day
501,55-64,F,5,UK,White,1.37297,-0.69509,1.43533,-0.15487,-1.92173,Used in Last Week
502,35-44,F,6,Republic of Ireland,White,0.04257,0.47617,-0.84732,-0.76096,1.13407,Used in Last Year
503,25-34,F,6,UK,White,-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,Used in Last Year
504,18-24,M,5,USA,White,-1.55078,0.63779,-0.31776,-0.60633,-0.27607,Used in Last Week
505,55-64,F,6,Canada,White,0.04257,-0.30033,-0.31776,-0.76096,0.58489,Used over a Decade Ago
506,35-44,M,2,UK,White,-0.05188,0.00332,-0.31776,-0.01729,0.41594,Used over a Decade Ago
508,35-44,M,7,UK,White,-0.46725,0.63779,0.88309,-0.76096,0.58489,Used in Last Month
509,25-34,M,7,UK,White,0.13606,-0.30033,-0.97631,-1.34289,-0.00665,Used in Last Year
510,35-44,M,2,UK,White,1.49158,-1.09207,-1.11902,-1.772,-0.78155,Used in Last Week
512,35-44,M,7,UK,White,0.04257,0.96248,-0.58331,-0.30172,-0.40581,Used in Last Week
513,45-54,F,8,UK,White,0.41667,0.47617,-0.17779,-0.15487,0.25953,Used in Last Week
514,18-24,M,5,UK,White,0.41667,0.47617,0.58331,0.13136,-1.0145,Used in Last Day
515,55-64,M,2,USA,White,-0.14882,-0.30033,-0.17779,0.76096,0.41594,Used in Last Year
516,35-44,M,2,UK,White,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,Used in Last Day
517,18-24,F,3,USA,White,-1.43907,1.93886,0.44585,0.13136,0.25953,Used in Last Week
518,35-44,F,2,UK,White,-0.14882,0.16767,-0.71727,-1.6209,0.25953,Used in Last Day
519,25-34,F,8,UK,White,0.31287,-0.15487,0.29338,-0.45321,0.93949,Used in Last Decade
521,25-34,M,8,UK,White,-0.14882,0.32197,-1.27553,1.11406,1.81175,Used in Last Week
522,35-44,F,7,UK,White,0.22393,-0.30033,-0.97631,-0.76096,0.93949,Used in Last Week
523,45-54,F,2,Australia,White,0.62967,-0.30033,-0.84732,-0.45321,0.12331,Used in Last Year
524,18-24,M,5,USA,White,0.04257,0.32197,-0.01928,-1.34289,-0.14277,Used in Last Week
525,18-24,M,5,UK,White,-0.24649,0.47617,-0.17779,-0.76096,-1.25773,Used in Last Week
526,35-44,F,1,UK,White,0.13606,-0.80615,-1.82919,0.13136,0.41594,Used in Last Decade
527,45-54,F,7,Australia,White,-0.67825,0.63779,1.06238,2.03972,2.63199,Used in Last Week
528,55-64,M,4,UK,White,-1.86962,0.47617,-1.11902,-0.01729,0.41594,Used in Last Day
529,18-24,M,6,UK,White,0.91093,-1.37639,-0.31776,-1.92595,-1.38502,Used in Last Month
530,35-44,M,9,UK,White,0.62967,-0.15487,-0.17779,0.59042,-1.64101,Used in Last Day
531,25-34,F,6,UK,White,0.73545,1.11406,-0.01928,-0.01729,-0.00665,Used in Last Week
532,55-64,M,7,UK,White,0.91093,0.00332,0.58331,-1.92595,0.58489,Used in Last Week
533,45-54,M,7,UK,White,1.02119,-1.50796,-0.71727,0.28783,-0.89891,Used in Last Week
534,18-24,F,7,UK,White,-0.24649,0.16767,-0.71727,1.61108,1.13407,Used in Last Month
535,25-34,M,8,UK,White,-0.34799,-0.15487,-0.71727,-1.6209,-0.65253,Used in Last Month
536,35-44,F,8,UK,White,-1.86962,2.32338,-0.45174,1.45039,1.46191,Used in Last Day
537,25-34,F,7,USA,White,0.91093,0.00332,0.88309,-2.07848,-0.52745,Used in Last Week
538,18-24,F,7,UK,White,1.37297,0.80523,-0.97631,0.94156,-0.65253,Used in Last Day
539,45-54,F,5,UK,Asian,0.73545,-0.30033,-1.27553,0.76096,-0.89891,Never Used
540,35-44,F,7,UK,White,1.13281,-0.30033,-0.01928,0.59042,0.58489,Used in Last Day
541,45-54,M,8,UK,White,-1.32828,1.2861,-0.17779,0.59042,1.81175,Used in Last Day
542,45-54,F,7,UK,White,-1.05308,0.32197,-0.17779,-0.91699,0.12331,Used in Last Week
544,35-44,M,3,UK,White,0.73545,0.80523,0.88309,-1.21213,-1.0145,Used in Last Day
545,25-34,F,7,UK,White,0.82562,0.63779,-0.97631,-0.76096,0.25953,Used in Last Day
546,18-24,F,2,UK,White,1.23461,-0.57545,-0.71727,-0.76096,-1.0145,Used in Last Week
547,35-44,F,6,UK,White,1.60383,0.16767,-0.45174,0.59042,-0.78155,Used in Last Week
548,45-54,F,5,USA,White,-0.92104,-0.43999,0.88309,3.15735,-0.00665,Used in Last Decade
549,25-34,F,8,UK,White,-1.86962,-0.69509,-0.97631,-0.45321,2.04506,Used in Last Week
550,18-24,M,7,UK,White,1.23461,-0.43999,0.14143,0.13136,-1.78169,Used in Last Month
552,18-24,F,7,UK,White,-0.14882,-0.43999,-1.42424,0.76096,1.30612,Used in Last Day
553,35-44,F,8,UK,White,-0.79151,1.2861,0.14143,-1.07533,1.13407,Used in Last Month
554,18-24,F,8,UK,White,1.72012,-1.50796,-0.17779,0.76096,0.25953,Used in Last Decade
556,25-34,F,9,UK,White,0.62967,0.47617,-0.45174,-0.01729,1.30612,Used in Last Month
557,45-54,F,8,UK,White,0.22393,-0.94779,-1.11902,-0.01729,0.93949,Used in Last Day
558,18-24,F,7,UK,White,-0.14882,-0.30033,0.29338,-0.15487,0.25953,Used in Last Day
559,25-34,F,7,UK,White,-1.69163,0.96248,-0.17779,1.45039,1.30612,Used in Last Month
560,18-24,F,7,UK,White,-0.46725,-0.15487,-0.58331,0.94156,-0.14277,Used in Last Week
561,45-54,F,7,UK,White,-0.79151,0.00332,0.44585,0.28783,1.13407,Used in Last Day
562,18-24,F,7,UK,White,1.02119,0.16767,-0.71727,0.28783,0.41594,Used in Last Day
563,35-44,F,7,UK,White,0.62967,0.63779,0.44585,-1.07533,0.7583,Used in Last Week
564,35-44,F,8,UK,Other,2.61139,0.47617,-1.55521,-0.30172,1.46191,Used in Last Day
565,25-34,F,8,UK,White,0.82562,0.32197,-0.58331,-1.772,-0.27607,Used in Last Week
566,45-54,F,5,UK,White,-0.46725,-0.43999,-0.01928,0.13136,-0.40581,Used in Last Decade
567,45-54,F,8,UK,White,0.31287,-0.80615,0.14143,0.59042,-0.78155,Used in Last Week
568,18-24,F,7,UK,White,0.91093,1.11406,-0.97631,0.94156,0.58489,Used in Last Week
569,18-24,M,7,UK,White,1.8399,0.63779,1.24033,-0.91699,-0.52745,Used in Last Day
570,35-44,M,8,UK,White,1.02119,-0.80615,-0.17779,-0.30172,-0.00665,Used over a Decade Ago
571,35-44,F,9,UK,White,-0.34799,0.80523,-0.17779,-0.91699,2.63199,Used in Last Day
