,Unnamed: 0,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
776,776,1320,35-44,M,7,USA,White,-0.67825,-0.30033,-0.31776,-0.15487,1.30612,Used in Last Day,1,6
777,777,1347,45-54,M,5,USA,White,0.82562,-0.15487,0.44585,-0.15487,0.12331,Used in Last Day,1,6
780,780,1375,45-54,M,7,UK,Other,-0.58016,-0.57545,-0.01928,-0.15487,-0.14277,Used in Last Day,1,6
784,784,1503,18-24,M,7,USA,White,0.41667,-1.92173,0.88309,-0.15487,-0.52745,Used in Last Day,1,6
788,788,1586,25-34,F,7,UK,White,0.13606,1.11406,0.14143,-0.15487,0.58489,Used in Last Day,1,6
793,793,1640,45-54,F,6,UK,White,-0.05188,0.16767,-0.97631,-0.15487,-0.27607,Used in Last Day,1,6
794,794,1696,35-44,M,6,UK,White,-0.46725,0.63779,-0.17779,-0.15487,-0.65253,Used in Last Day,1,6
796,796,1700,25-34,F,8,USA,White,-1.69163,0.80523,0.7233,-0.15487,-0.00665,Used in Last Day,1,6
798,798,1741,45-54,F,7,UK,White,-0.92104,0.32197,-0.58331,-0.15487,1.13407,Used in Last Day,1,6
801,801,1861,18-24,M,5,USA,White,1.72012,0.32197,1.65653,-0.15487,-1.78169,Used in Last Day,1,6
804,804,28,35-44,M,7,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,Used in Last Day,1,6
805,805,37,35-44,M,7,UK,White,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,Used in Last Day,1,6
806,806,39,45-54,M,7,UK,White,-1.55078,1.2861,0.29338,-0.01729,0.7583,Used in Last Day,1,6
807,807,43,35-44,M,8,UK,White,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,Used in Last Day,1,6
814,814,254,45-54,F,9,UK,White,-0.79151,0.16767,0.29338,-0.01729,0.93949,Used in Last Day,1,6
817,817,281,55-64,M,8,UK,White,-0.05188,0.16767,0.7233,-0.01729,-0.89891,Used in Last Day,1,6
825,825,381,45-54,F,6,UK,White,0.82562,-0.43999,0.7233,-0.01729,0.25953,Used in Last Day,1,6
829,829,468,45-54,M,7,UK,White,0.22393,0.00332,1.24033,-0.01729,1.46191,Used in Last Day,1,6
833,833,528,55-64,M,4,UK,White,-1.86962,0.47617,-1.11902,-0.01729,0.41594,Used in Last Day,1,6
836,836,557,45-54,F,8,UK,White,0.22393,-0.94779,-1.11902,-0.01729,0.93949,Used in Last Day,1,6
837,837,582,35-44,F,5,UK,White,-1.1943,0.00332,-1.11902,-0.01729,-1.92173,Used in Last Day,1,6
839,839,626,35-44,F,9,UK,White,0.04257,0.00332,-1.27553,-0.01729,0.25953,Used in Last Day,1,6
842,842,681,45-54,M,9,UK,White,0.22393,-0.80615,-0.17779,-0.01729,-2.04506,Used in Last Day,1,6
843,843,690,55-64,F,8,UK,White,0.82562,-0.69509,-0.45174,-0.01729,-0.14277,Used in Last Day,1,6
844,844,699,35-44,M,7,USA,White,-0.05188,-0.94779,0.88309,-0.01729,-0.65253,Used in Last Day,1,6
849,849,785,18-24,F,5,USA,White,-0.24649,0.47617,0.88309,-0.01729,1.13407,Used in Last Day,1,6
858,858,1011,45-54,M,7,USA,White,-0.67825,0.00332,-0.01928,-0.01729,0.41594,Used in Last Day,1,6
860,860,1036,18-24,M,6,UK,White,0.52135,0.47617,1.88511,-0.01729,-0.52745,Used in Last Day,1,6
862,862,1069,18-24,M,4,UK,White,-1.69163,0.96248,-0.01928,-0.01729,-0.89891,Used in Last Day,1,6
866,866,1125,25-34,M,6,UK,White,0.73545,-0.94779,-1.11902,-0.01729,-1.25773,Used in Last Day,1,6
869,869,1161,25-34,F,7,Canada,White,0.62967,-0.15487,0.14143,-0.01729,-1.13788,Used in Last Day,1,6
871,871,1217,25-34,M,6,USA,White,1.23461,-0.57545,0.88309,-0.01729,-0.89891,Used in Last Day,1,6
874,874,1306,18-24,M,5,Australia,White,2.61139,-2.32338,1.06238,-0.01729,-2.42317,Used in Last Day,1,6
882,882,1479,18-24,M,5,USA,White,-0.92104,1.45421,1.65653,-0.01729,-0.52745,Used in Last Day,1,6
892,892,1633,35-44,M,6,Canada,White,1.60383,0.16767,-0.45174,-0.01729,1.81175,Used in Last Day,1,6
897,897,1731,25-34,F,5,UK,White,0.62967,-1.37639,-0.71727,-0.01729,-0.78155,Used in Last Day,1,6
900,900,1787,18-24,M,5,USA,White,-0.67825,3.27393,1.88511,-0.01729,-0.78155,Used in Last Day,1,6
901,901,1812,18-24,M,5,USA,White,-1.55078,-0.80615,1.06238,-0.01729,2.33337,Used in Last Day,1,6
902,902,38,55-64,M,1,USA,White,0.31287,0.32197,1.06238,0.13136,-0.65253,Used in Last Day,1,6
909,909,126,55-64,M,7,UK,White,-0.46725,1.2861,0.44585,0.13136,1.13407,Used in Last Day,1,6
914,914,174,35-44,F,7,UK,White,1.02119,0.63779,1.24033,0.13136,0.25953,Used in Last Day,1,6
927,927,370,25-34,M,6,UK,White,-0.05188,-0.94779,-1.68062,0.13136,0.7583,Used in Last Day,1,6
939,939,514,18-24,M,5,UK,White,0.41667,0.47617,0.58331,0.13136,-1.0145,Used in Last Day,1,6
946,946,610,25-34,M,7,UK,White,-1.69163,1.2861,1.24033,0.13136,1.13407,Used in Last Day,1,6
947,947,612,25-34,M,5,UK,White,-0.92104,0.96248,0.88309,0.13136,-0.65253,Used in Last Day,1,6
951,951,654,18-24,M,5,USA,White,-0.67825,0.63779,-0.01928,0.13136,-0.00665,Used in Last Day,1,6
960,960,834,25-34,F,8,USA,White,0.13606,-0.94779,1.43533,0.13136,0.58489,Used in Last Day,1,6
961,961,841,18-24,M,4,UK,White,0.73545,0.00332,2.15324,0.13136,-1.5184,Used in Last Day,1,6
971,971,974,18-24,M,5,USA,White,1.49158,-1.23177,-1.11902,0.13136,-0.52745,Used in Last Day,1,6
972,972,991,18-24,M,5,USA,White,1.72012,-0.57545,1.65653,0.13136,-0.40581,Used in Last Day,1,6
986,986,1227,18-24,M,7,USA,White,0.62967,1.45421,0.58331,0.13136,0.93949,Used in Last Day,1,6
988,988,1245,25-34,F,7,UK,White,0.52135,0.00332,-0.97631,0.13136,-1.38502,Used in Last Day,1,6
990,990,1263,25-34,F,6,UK,White,0.31287,0.96248,-0.97631,0.13136,0.58489,Used in Last Day,1,6
1002,1002,1505,18-24,F,7,USA,Mixed-White/Asian,-0.46725,0.00332,-0.31776,0.13136,-0.52745,Used in Last Day,1,6
1008,1008,1660,45-54,F,7,UK,White,-2.21844,0.63779,0.29338,0.13136,0.41594,Used in Last Day,1,6
1011,1011,1754,25-34,F,6,UK,White,-0.14882,1.58487,-0.01928,0.13136,-0.40581,Used in Last Day,1,6
1015,1015,17,35-44,F,5,UK,White,-1.55078,-0.80615,-1.68062,0.28783,0.7583,Used in Last Day,1,6
1016,1016,24,45-54,M,2,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.0145,Used in Last Day,1,6
1017,1017,29,35-44,F,8,UK,White,0.04257,-1.50796,-0.71727,0.28783,1.30612,Used in Last Day,1,6
1022,1022,70,45-54,F,2,UK,White,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,Used in Last Day,1,6
1023,1023,74,45-54,M,6,UK,White,-0.67825,-0.57545,-0.31776,0.28783,1.13407,Used in Last Day,1,6
1024,1024,91,35-44,F,8,UK,White,1.37297,0.32197,0.7233,0.28783,-0.78155,Used in Last Day,1,6
1031,1031,139,55-64,M,7,UK,White,-0.46725,-0.80615,0.14143,0.28783,0.93949,Used in Last Day,1,6
1032,1032,143,35-44,M,3,UK,White,-0.46725,-0.30033,-1.27553,0.28783,-0.14277,Used in Last Day,1,6
1035,1035,187,35-44,F,8,UK,White,-0.67825,1.45421,0.14143,0.28783,1.81175,Used in Last Day,1,6
1038,1038,267,55-64,M,7,UK,White,-1.1943,-0.15487,-0.17779,0.28783,0.7583,Used in Last Day,1,6
1039,1039,272,45-54,F,8,UK,White,0.73545,-0.69509,0.44585,0.28783,-1.38502,Used in Last Day,1,6
1040,1040,273,55-64,M,9,UK,White,-1.05308,0.00332,-0.01928,0.28783,-0.00665,Used in Last Day,1,6
1041,1041,274,25-34,F,7,UK,White,0.22393,0.16767,-1.11902,0.28783,0.25953,Used in Last Day,1,6
1042,1042,313,45-54,F,8,UK,White,-0.34799,0.00332,-0.45174,0.28783,0.12331,Used in Last Day,1,6
1044,1044,324,45-54,M,3,UK,White,0.91093,-1.09207,-1.68062,0.28783,-0.78155,Used in Last Day,1,6
1053,1053,561,45-54,F,7,UK,White,-0.79151,0.00332,0.44585,0.28783,1.13407,Used in Last Day,1,6
1054,1054,562,18-24,F,7,UK,White,1.02119,0.16767,-0.71727,0.28783,0.41594,Used in Last Day,1,6
1057,1057,632,35-44,F,9,UK,White,0.52135,-0.30033,1.65653,0.28783,1.13407,Used in Last Day,1,6
1059,1059,666,25-34,F,9,UK,White,1.13281,-0.43999,0.14143,0.28783,-0.27607,Used in Last Day,1,6
1061,1061,683,25-34,M,8,UK,White,1.37297,-1.7625,0.44585,0.28783,0.58489,Used in Last Day,1,6
1062,1062,700,55-64,M,5,UK,White,-0.14882,-1.09207,-0.71727,0.28783,-1.0145,Used in Last Day,1,6
1066,1066,885,18-24,M,5,USA,White,0.04257,1.2861,0.7233,0.28783,-0.65253,Used in Last Day,1,6
1074,1074,1082,25-34,F,8,UK,Other,0.31287,1.74091,-0.17779,0.28783,0.58489,Used in Last Day,1,6
1077,1077,1114,45-54,M,9,USA,White,0.41667,-0.43999,0.58331,0.28783,-1.25773,Used in Last Day,1,6
1081,1081,1254,35-44,F,7,UK,White,-0.34799,-1.23177,-1.97495,0.28783,-0.27607,Used in Last Day,1,6
1083,1083,1264,45-54,F,7,UK,White,0.04257,-0.15487,-0.71727,0.28783,0.58489,Used in Last Day,1,6
1088,1088,1406,25-34,F,9,UK,Mixed-White/Black,1.60383,1.2861,0.58331,0.28783,-0.78155,Used in Last Day,1,6
1091,1091,1428,18-24,F,6,UK,Other,0.04257,0.00332,-0.17779,0.28783,1.81175,Used in Last Day,1,6
1092,1092,1436,55-64,F,8,UK,White,-0.79151,0.00332,0.14143,0.28783,0.7583,Used in Last Day,1,6
1096,1096,1535,25-34,M,4,Australia,White,0.04257,0.32197,-0.97631,0.28783,-0.65253,Used in Last Day,1,6
1099,1099,1551,25-34,F,6,UK,White,-0.46725,0.00332,-1.11902,0.28783,-0.00665,Used in Last Day,1,6
1100,1100,1557,18-24,F,8,UK,White,0.31287,0.80523,-0.97631,0.28783,0.25953,Used in Last Day,1,6
1108,1108,1704,18-24,M,5,USA,White,-0.34799,-0.69509,-0.58331,0.28783,-1.13788,Used in Last Day,1,6
1115,1115,1798,18-24,M,5,USA,White,0.31287,-0.15487,1.88511,0.28783,-1.5184,Used in Last Day,1,6
1116,1116,1804,18-24,M,5,USA,White,-0.14882,1.74091,1.06238,0.28783,-1.0145,Used in Last Day,1,6
1117,1117,1820,18-24,M,8,USA,White,-2.75696,2.57309,1.24033,0.28783,1.46191,Used in Last Day,1,6
1121,1121,1870,18-24,F,7,USA,White,0.13606,-0.80615,1.43533,0.28783,1.63088,Used in Last Day,1,6
1122,1122,33,35-44,M,7,UK,White,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,Used in Last Day,1,6
1123,1123,73,45-54,M,4,UK,White,-1.55078,0.96248,-0.01928,0.43852,0.93949,Used in Last Day,1,6
1129,1129,237,25-34,F,8,UK,White,1.49158,0.32197,-0.17779,0.43852,0.41594,Used in Last Day,1,6
1131,1131,260,65+,M,6,UK,White,-1.05308,-0.30033,0.29338,0.43852,0.7583,Used in Last Day,1,6
1132,1132,269,45-54,F,8,UK,White,-1.05308,1.74091,0.58331,0.43852,2.04506,Used in Last Day,1,6
1138,1138,334,18-24,F,5,UK,White,2.82196,-1.92173,-0.84732,0.43852,-1.78169,Used in Last Day,1,6
1139,1139,337,25-34,F,8,UK,White,0.41667,-0.57545,0.58331,0.43852,-1.0145,Used in Last Day,1,6
1142,1142,414,25-34,F,7,UK,White,0.13606,1.11406,-0.97631,0.43852,-0.27607,Used in Last Day,1,6
1148,1148,694,35-44,M,8,UK,White,-1.1943,-0.30033,0.14143,0.43852,0.58489,Used in Last Day,1,6
1149,1149,747,25-34,F,2,UK,White,0.73545,0.32197,-1.11902,0.43852,-0.40581,Used in Last Day,1,6
1150,1150,770,25-34,M,7,Australia,White,1.02119,0.16767,0.58331,0.43852,0.7583,Used in Last Day,1,6
1152,1152,784,18-24,F,5,USA,White,0.82562,-0.43999,0.88309,0.43852,-0.52745,Used in Last Day,1,6
1166,1166,1088,35-44,M,6,Canada,White,-0.14882,-0.15487,0.58331,0.43852,0.58489,Used in Last Day,1,6
1169,1169,1126,25-34,M,4,UK,White,-1.05308,0.00332,-2.39883,0.43852,-0.00665,Used in Last Day,1,6
1173,1173,1194,18-24,M,4,Canada,White,1.60383,-1.50796,0.44585,0.43852,-1.13788,Used in Last Day,1,6
1174,1174,1312,18-24,F,5,UK,White,-0.24649,0.32197,0.29338,0.43852,0.7583,Used in Last Day,1,6
1179,1179,1407,25-34,F,7,UK,White,0.22393,-0.57545,-1.55521,0.43852,-1.38502,Used in Last Day,1,6
1180,1180,1409,25-34,M,8,UK,White,1.37297,-1.23177,-0.58331,0.43852,-1.25773,Used in Last Day,1,6
1187,1187,1474,25-34,F,8,USA,White,-0.24649,0.32197,0.88309,0.43852,0.12331,Used in Last Day,1,6
1190,1190,1542,18-24,M,5,USA,White,-1.55078,1.2861,-0.97631,0.43852,0.93949,Used in Last Day,1,6
1205,1205,1689,25-34,F,8,USA,White,0.13606,0.96248,1.65653,0.43852,-0.27607,Used in Last Day,1,6
1218,1218,10,55-64,M,8,UK,White,-0.24649,0.00332,-1.42424,0.59042,0.12331,Used in Last Day,1,6
1221,1221,135,25-34,F,8,UK,Mixed-White/Asian,3.27393,-1.50796,-0.31776,0.59042,-0.65253,Used in Last Day,1,6
1225,1225,185,55-64,M,4,UK,White,0.04257,-0.80615,-0.97631,0.59042,0.25953,Used in Last Day,1,6
1231,1231,248,45-54,M,8,UK,White,-0.92104,-0.30033,-1.11902,0.59042,1.63088,Used in Last Day,1,6
1233,1233,303,35-44,F,9,UK,White,0.52135,-0.43999,-0.71727,0.59042,0.93949,Used in Last Day,1,6
1234,1234,310,35-44,M,8,UK,White,-0.79151,0.16767,-0.17779,0.59042,0.41594,Used in Last Day,1,6
1242,1242,459,18-24,F,7,UK,White,0.62967,0.00332,0.14143,0.59042,0.12331,Used in Last Day,1,6
1243,1243,494,18-24,M,4,UK,White,-0.92104,0.47617,0.44585,0.59042,-0.00665,Used in Last Day,1,6
1245,1245,530,35-44,M,9,UK,White,0.62967,-0.15487,-0.17779,0.59042,-1.64101,Used in Last Day,1,6
1246,1246,540,35-44,F,7,UK,White,1.13281,-0.30033,-0.01928,0.59042,0.58489,Used in Last Day,1,6
1247,1247,541,45-54,M,8,UK,White,-1.32828,1.2861,-0.17779,0.59042,1.81175,Used in Last Day,1,6
1250,1250,576,35-44,F,7,UK,White,2.127,-1.50796,-1.82919,0.59042,-1.78169,Used in Last Day,1,6
1275,1275,1091,25-34,F,8,USA,White,-0.46725,-0.15487,0.29338,0.59042,0.93949,Used in Last Day,1,6
1282,1282,1265,25-34,F,6,UK,White,-0.34799,-0.80615,-1.11902,0.59042,-0.00665,Used in Last Day,1,6
1283,1283,1268,35-44,F,6,UK,White,0.13606,-1.09207,-0.45174,0.59042,0.25953,Used in Last Day,1,6
1286,1286,1420,18-24,M,5,USA,White,-0.34799,0.80523,1.43533,0.59042,-0.00665,Used in Last Day,1,6
1289,1289,1507,45-54,F,9,UK,White,0.04257,1.58487,1.06238,0.59042,2.04506,Used in Last Day,1,6
1293,1293,1574,25-34,F,8,UK,White,0.31287,0.00332,-0.31776,0.59042,0.41594,Used in Last Day,1,6
1299,1299,1641,35-44,F,6,UK,White,0.31287,0.63779,-0.58331,0.59042,0.12331,Used in Last Day,1,6
1300,1300,1687,35-44,F,6,UK,White,-1.05308,0.63779,-0.45174,0.59042,0.58489,Used in Last Day,1,6
1303,1303,1724,55-64,M,6,UK,White,-2.05048,-0.15487,-1.42424,0.59042,0.41594,Used in Last Day,1,6
1306,1306,1839,35-44,F,6,USA,White,-0.05188,-0.80615,-0.01928,0.59042,0.25953,Used in Last Day,1,6
1313,1313,154,25-34,M,7,UK,White,-0.67825,0.96248,-1.68062,0.76096,0.7583,Used in Last Day,1,6
1314,1314,172,35-44,M,8,UK,White,-0.34799,0.96248,2.15324,0.76096,-0.78155,Used in Last Day,1,6
1315,1315,175,35-44,F,6,UK,White,1.02119,-0.57545,-2.21069,0.76096,-1.5184,Used in Last Day,1,6
1318,1318,199,25-34,F,6,UK,White,-0.05188,0.47617,0.58331,0.76096,-0.00665,Used in Last Day,1,6
1321,1321,271,45-54,F,8,UK,White,-2.3436,2.127,1.65653,0.76096,0.7583,Used in Last Day,1,6
1325,1325,340,35-44,M,9,UK,White,-1.86962,1.2861,0.29338,0.76096,1.46191,Used in Last Day,1,6
1330,1330,441,35-44,F,7,UK,White,-0.46725,0.47617,-0.58331,0.76096,1.81175,Used in Last Day,1,6
1335,1335,490,25-34,M,2,UK,White,0.41667,-1.37639,0.14143,0.76096,-0.40581,Used in Last Day,1,6
1338,1338,552,18-24,F,7,UK,White,-0.14882,-0.43999,-1.42424,0.76096,1.30612,Used in Last Day,1,6
1341,1341,617,35-44,F,8,UK,White,0.13606,-0.15487,-0.45174,0.76096,-0.27607,Used in Last Day,1,6
1348,1348,743,45-54,F,8,UK,White,0.82562,-0.30033,0.29338,0.76096,1.63088,Used in Last Day,1,6
1350,1350,758,18-24,F,5,Republic of Ireland,White,2.28554,-0.43999,-0.17779,0.76096,-2.18109,Used in Last Day,1,6
1352,1352,804,45-54,F,7,USA,White,0.13606,-0.94779,-0.97631,0.76096,-0.27607,Used in Last Day,1,6
1355,1355,869,18-24,F,5,USA,White,-0.05188,1.2861,1.43533,0.76096,2.04506,Used in Last Day,1,6
1363,1363,1045,25-34,F,8,UK,White,0.91093,-0.43999,-1.42424,0.76096,-0.65253,Used in Last Day,1,6
1364,1364,1156,18-24,F,8,UK,White,0.41667,0.16767,0.29338,0.76096,-0.52745,Used in Last Day,1,6
1365,1365,1167,35-44,M,7,USA,White,-0.34799,-0.57545,0.88309,0.76096,-1.78169,Used in Last Day,1,6
1368,1368,1272,55-64,F,7,UK,White,-0.14882,-0.15487,0.14143,0.76096,-0.52745,Used in Last Day,1,6
1372,1372,1337,18-24,F,7,UK,White,0.04257,1.58487,-0.71727,0.76096,1.30612,Used in Last Day,1,6
1374,1374,1363,18-24,M,5,USA,White,0.82562,-1.09207,0.58331,0.76096,-1.13788,Used in Last Day,1,6
1375,1375,1372,25-34,F,8,UK,White,-0.58016,-0.43999,-1.55521,0.76096,-0.52745,Used in Last Day,1,6
1380,1380,1426,25-34,F,7,USA,White,-0.24649,0.63779,1.24033,0.76096,0.58489,Used in Last Day,1,6
1381,1381,1441,35-44,F,8,UK,White,-0.14882,0.00332,-0.84732,0.76096,0.41594,Used in Last Day,1,6
1387,1387,1584,35-44,M,6,UK,White,0.31287,-1.23177,-0.01928,0.76096,0.12331,Used in Last Day,1,6
1390,1390,1616,55-64,M,6,UK,White,0.62967,-1.50796,-1.55521,0.76096,-0.40581,Used in Last Day,1,6
1391,1391,1626,35-44,F,6,UK,White,-0.79151,0.32197,-1.27553,0.76096,0.7583,Used in Last Day,1,6
1400,1400,1702,35-44,F,7,USA,White,1.98437,-0.80615,2.15324,0.76096,-0.00665,Used in Last Day,1,6
1414,1414,100,25-34,F,7,UK,White,-0.67825,3.00537,0.7233,0.94156,1.63088,Used in Last Day,1,6
1415,1415,130,45-54,F,8,UK,White,-0.79151,0.96248,-1.11902,0.94156,0.41594,Used in Last Day,1,6
1416,1416,140,45-54,M,2,UK,White,-0.05188,0.32197,-0.58331,0.94156,-0.27607,Used in Last Day,1,6
1419,1419,203,35-44,F,7,UK,White,-0.67825,1.2861,-0.45174,0.94156,1.13407,Used in Last Day,1,6
1421,1421,230,45-54,F,7,UK,White,-1.05308,1.45421,0.14143,0.94156,1.63088,Used in Last Day,1,6
1422,1422,234,45-54,M,7,UK,White,-0.67825,0.80523,-1.42424,0.94156,0.25953,Used in Last Day,1,6
1429,1429,327,35-44,M,4,UK,White,-0.58016,-1.6334,-1.97495,0.94156,0.41594,Used in Last Day,1,6
1439,1439,480,25-34,F,7,UK,White,0.41667,0.80523,-0.31776,0.94156,0.58489,Used in Last Day,1,6
1440,1440,538,18-24,F,7,UK,White,1.37297,0.80523,-0.97631,0.94156,-0.65253,Used in Last Day,1,6
1452,1452,832,18-24,M,6,UK,White,0.31287,-0.43999,-0.71727,0.94156,-0.14277,Used in Last Day,1,6
1457,1457,985,18-24,M,5,USA,White,-0.14882,-0.15487,1.24033,0.94156,-0.14277,Used in Last Day,1,6
1460,1460,1046,18-24,M,5,UK,White,0.73545,1.2861,1.43533,0.94156,-0.89891,Used in Last Day,1,6
1468,1468,1315,35-44,M,7,USA,White,-0.92104,0.96248,0.58331,0.94156,1.13407,Used in Last Day,1,6
1471,1471,1403,25-34,F,7,UK,White,0.91093,0.00332,0.88309,0.94156,-0.52745,Used in Last Day,1,6
1472,1472,1444,35-44,F,9,UK,White,-0.46725,0.96248,0.7233,0.94156,0.58489,Used in Last Day,1,6
1474,1474,1464,18-24,M,5,USA,White,-1.1943,0.80523,0.88309,0.94156,0.41594,Used in Last Day,1,6
1477,1477,1540,18-24,M,5,USA,White,1.13281,-0.69509,0.88309,0.94156,-0.89891,Used in Last Day,1,6
1478,1478,1554,45-54,F,6,UK,White,-0.58016,-0.57545,-1.27553,0.94156,0.93949,Used in Last Day,1,6
1483,1483,1647,35-44,M,6,UK,White,0.04257,-0.94779,0.14143,0.94156,0.58489,Used in Last Day,1,6
1486,1486,1710,45-54,F,7,UK,White,-1.05308,1.2861,-0.84732,0.94156,-0.14277,Used in Last Day,1,6
1488,1488,1723,45-54,M,7,UK,White,-0.05188,1.11406,0.7233,0.94156,1.81175,Used in Last Day,1,6
1501,1501,201,18-24,F,7,UK,White,-0.58016,0.16767,-0.84732,1.11406,1.46191,Used in Last Day,1,6
1504,1504,220,35-44,F,5,UK,White,-0.34799,-0.57545,0.14143,1.11406,0.25953,Used in Last Day,1,6
1505,1505,223,35-44,F,7,UK,White,-0.24649,0.63779,0.7233,1.11406,0.25953,Used in Last Day,1,6
1513,1513,487,45-54,F,2,UK,White,-0.46725,0.32197,-1.55521,1.11406,-0.78155,Used in Last Day,1,6
1515,1515,573,18-24,F,8,UK,White,-1.69163,1.93886,-0.17779,1.11406,1.81175,Used in Last Day,1,6
1516,1516,580,45-54,F,8,UK,White,1.02119,-0.15487,0.29338,1.11406,1.46191,Used in Last Day,1,6
1519,1519,661,25-34,F,8,UK,Black,-1.32828,0.47617,-0.01928,1.11406,0.12331,Used in Last Day,1,6
1522,1522,752,25-34,F,6,UK,White,-2.3436,1.45421,-1.82919,1.11406,1.30612,Used in Last Day,1,6
1524,1524,760,18-24,M,9,UK,White,-2.75696,1.74091,0.58331,1.11406,0.25953,Used in Last Day,1,6
1525,1525,763,25-34,F,7,Australia,White,-1.32828,0.80523,1.43533,1.11406,0.12331,Used in Last Day,1,6
1535,1535,1092,25-34,F,7,UK,White,-1.05308,1.45421,0.14143,1.11406,-0.27607,Used in Last Day,1,6
1537,1537,1120,25-34,F,7,USA,White,-1.69163,2.57309,2.90161,1.11406,-0.27607,Used in Last Day,1,6
1544,1544,1366,35-44,F,7,USA,White,-0.05188,-0.94779,0.29338,1.11406,-0.89891,Used in Last Day,1,6
1557,1557,34,18-24,M,7,UK,White,0.41667,-0.30033,0.29338,1.2861,-0.14277,Used in Last Day,1,6
1569,1569,425,35-44,F,7,UK,Mixed-White/Asian,-1.05308,0.80523,-0.71727,1.2861,0.93949,Used in Last Day,1,6
1570,1570,434,45-54,F,2,UK,White,0.22393,1.93886,-1.11902,1.2861,-0.14277,Used in Last Day,1,6
1577,1577,696,35-44,F,8,UK,White,-0.14882,-0.43999,-0.01928,1.2861,1.81175,Used in Last Day,1,6
1580,1580,795,25-34,M,7,UK,White,-0.05188,-0.57545,1.24033,1.2861,-0.52745,Used in Last Day,1,6
1584,1584,958,35-44,M,6,UK,White,-1.43907,-0.30033,0.14143,1.2861,1.30612,Used in Last Day,1,6
1585,1585,1012,18-24,F,5,USA,White,-0.58016,1.45421,1.88511,1.2861,-0.78155,Used in Last Day,1,6
1587,1587,1111,18-24,M,5,UK,White,-0.92104,1.74091,1.43533,1.2861,-0.27607,Used in Last Day,1,6
1589,1589,1171,35-44,F,7,USA,White,-1.1943,1.2861,1.43533,1.2861,0.25953,Used in Last Day,1,6
1602,1602,1581,35-44,F,2,UK,White,-0.46725,0.16767,-0.45174,1.2861,0.58489,Used in Last Day,1,6
1609,1609,1802,25-34,M,9,USA,White,0.52135,1.58487,2.90161,1.2861,1.81175,Used in Last Day,1,6
1612,1612,1845,18-24,M,5,USA,White,-0.58016,0.47617,2.15324,1.2861,0.41594,Used in Last Day,1,6
1619,1619,358,45-54,M,7,UK,White,-1.1943,-0.15487,-1.27553,1.45039,0.41594,Used in Last Day,1,6
1620,1620,464,45-54,M,4,UK,White,1.02119,-0.94779,-0.58331,1.45039,-1.25773,Used in Last Day,1,6
1621,1621,481,25-34,F,8,Australia,White,0.41667,-0.43999,1.43533,1.45039,0.25953,Used in Last Day,1,6
1622,1622,536,35-44,F,8,UK,White,-1.86962,2.32338,-0.45174,1.45039,1.46191,Used in Last Day,1,6
1626,1626,889,18-24,M,7,UK,White,-0.46725,2.57309,0.7233,1.45039,0.12331,Used in Last Day,1,6
1629,1629,975,18-24,M,5,USA,White,-1.86962,2.127,1.24033,1.45039,0.58489,Used in Last Day,1,6
1630,1630,1141,18-24,F,5,USA,White,-0.92104,0.47617,0.14143,1.45039,-0.27607,Used in Last Day,1,6
1631,1631,1144,18-24,F,5,USA,White,1.98437,-1.92173,1.24033,1.45039,-1.13788,Used in Last Day,1,6
1634,1634,1256,45-54,F,7,UK,White,1.37297,-0.69509,0.29338,1.45039,0.12331,Used in Last Day,1,6
1639,1639,1442,45-54,F,8,UK,White,-1.1943,-0.15487,0.14143,1.45039,1.30612,Used in Last Day,1,6
1642,1642,1541,18-24,F,5,USA,White,0.62967,-0.15487,1.88511,1.45039,0.12331,Used in Last Day,1,6
1643,1643,1566,45-54,F,6,UK,White,-0.46725,-0.30033,-1.42424,1.45039,2.04506,Used in Last Day,1,6
1647,1647,1748,45-54,F,5,UK,White,0.13606,0.80523,0.44585,1.45039,-0.14277,Used in Last Day,1,6
1650,1650,21,45-54,M,6,UK,White,-0.79151,0.80523,0.7233,1.61108,-1.13788,Used in Last Day,1,6
1658,1658,328,45-54,M,8,UK,White,-1.86962,1.58487,-0.01928,1.61108,1.30612,Used in Last Day,1,6
1659,1659,376,55-64,F,8,UK,White,-0.24649,1.2861,0.88309,1.61108,1.13407,Used in Last Day,1,6
1674,1674,1157,18-24,M,9,UK,White,-0.92104,1.74091,1.65653,1.61108,-0.52745,Used in Last Day,1,6
1684,1684,1816,18-24,F,8,UK,White,0.13606,0.32197,-0.97631,1.61108,0.93949,Used in Last Day,1,6
1690,1690,213,25-34,F,6,UK,White,0.13606,0.63779,-0.84732,1.81866,0.58489,Used in Last Day,1,6
1693,1693,357,25-34,M,1,UK,White,0.62967,0.00332,1.24033,1.81866,0.93949,Used in Last Day,1,6
1697,1697,601,45-54,F,8,UK,White,0.73545,-0.57545,-0.58331,1.81866,0.12331,Used in Last Day,1,6
1699,1699,714,18-24,M,7,USA,White,0.52135,0.80523,0.88309,1.81866,-0.00665,Used in Last Day,1,6
